#Energy, pressure, nB, muB
2278.01,1559.19,1.5,3317.47
2031.36,1292.44,1.4,2954.5314285714
1802.7,1054.75,1.3,2614.0461538462
1591.26,845.25,1.2,2295.635
1396.12,663.062,1.1,1998.9036363636
1216.35,507.119,1,1723.469
1131.92,438.6,0.95,1593.6042105263
1050.92,376.144,0.9,1468.8577777778
973.238,319.556,0.85,1349.1862352941
898.706,268.631,0.8,1234.49475
827.212,223.138,0.75,1124.7293333333
758.587,182.844,0.7,1019.7927142857
718.706,161.056,0.67,959.0880895522
679.781,140.994,0.64,900.084125
641.7,122.6,0.61,842.6836065574
604.575,105.812,0.58,787.0094827586
568.237,90.5688,0.55,732.9075454545
532.659,76.8062,0.52,680.3632307692
497.863,64.4688,0.49,629.4319795918
463.781,53.4756,0.46,580.0323043478
430.369,43.7706,0.43,532.1610930233
397.598,35.2819,0.4,485.80275
365.417,27.9387,0.37,440.927
333.788,21.6687,0.34,397.5194705882
302.67,16.3969,0.31,355.5632258065
272.014,12.0481,0.28,315.0429285714
241.779,8.5425,0.25,275.949
211.922,5.79787,0.22,238.2759545455
182.385,3.72919,0.19,202.0123157895
153.129,2.24544,0.16,167.163
124.104,1.24819,0.13,133.7054615385
114.469,1.00394,0.12,122.8351666667
104.856,0.793813,0.11,112.0724818182
95.2594,0.619663,0.1,101.45603
85.68,0.477769,0.09,90.9885444444
80.8931,0.417675,0.085,85.8069235294
76.1119,0.364125,0.08,80.6634625
73.3387,0.335869,0.0771,77.6949775616
72.2531,0.335869,0.075959,76.6748143459
71.55,0.33035,0.075226,75.9414338128
69.5925,0.315387,0.073174,73.9025964824
66.7069,0.293737,0.070154,70.8939313881
63.8494,0.273006,0.067163,67.9142273603
61.0031,0.253181,0.064183,64.9477738233
57.2231,0.228156,0.060219,61.0118709859
53.4499,0.204725,0.056264,57.088549936
49.6969,0.182881,0.052327,53.1918643587
45.9776,0.162612,0.048425,49.3356175529
42.3135,0.1439,0.044578,45.5415497106
37.8472,0.122663,0.039888,40.9223855195
34.3986,0.107344,0.036264,37.3586705934
30.2867,0.0901875,0.031941,33.1102653236
26.4381,0.0751437,0.027894,29.1320019144
22.887,0.0620537,0.024157,25.4557668171
20.2742,0.0528831,0.021405,22.7447956552
15.6622,0.0376462,0.016547,17.9373072702
11.8361,0.0259837,0.012513,13.9126364021
9.43537,0.0192,0.0099795,11.3593140854
7.08356,0.0130587,0.0074963,8.8255793962
5.40832,0.00907063,0.005726,6.9924328187
4.22471,0.00650313,0.0044746,5.6780533156
3.21486,0.004519,0.0034064,4.5414804791
2.52152,0.00329244,0.0026726,3.7534439692
1.92251,0.00234131,0.0020384,3.0711118446
1.5318,0.00178531,0.0016246,2.6307228118
1.18918,0.00134669,0.0012616,2.2566261002
0.986794,0.001112,0.0010471,2.0487747086
0.721744,0.000835625,0.00076608,1.8125243363
0.570713,0.0006955,0.00060594,1.7185164129
0.503021,0.000636938,0.00053414,1.6954761616
0.440657,0.000585419,0.000468,1.6915522991
0.38376,0.000540269,0.00040764,1.7091181592
0.332544,0.000500931,0.00035331,1.7503668751
0.287325,0.000466781,0.00030533,1.8161004233
0.248619,0.000437156,0.00026426,1.9028837393
0.217406,0.000411331,0.00023114,1.9969811493
0.207467,0.0004019,0.00022059,2.0293990912
0.196599,0.000388438,0.00020905,2.0547094999
0.0541744,0.000090625,0.00005777,1.6228951893
0.0468956,0.00006875,0.00005002,1.4213458199
0.0372319,5.05562E-005,0.00003973,1.3097262368
0.0283444,3.71812E-005,0.00003025,1.2574749785
0.0234787,0.000028925,0.00002507,1.1772481456
0.0186469,0.000021275,0.00001991,1.0872054133
0.0142481,1.56437E-005,0.00001522,1.0420864706
0.0117619,1.21125E-005,0.00001257,0.9753657186
0.00934312,8.90625E-006,0.000009982,0.9015741358
0.00741937,0.00000655,0.00000793,0.8333966714
0.00568687,4.81375E-006,0.000006081,0.7972918692
0.00451744,3.53875E-006,0.00000483,0.7371778955
0.00371587,2.72625E-006,0.000003974,0.6897375107
0.00234337,1.4725E-006,0.000002507,0.5896987749
0.00143156,0.000000795,0.000001532,0.5203610639
0.000903375,4.2875E-007,9.667E-007,0.444422564
0.00068175,3.1475E-007,7.299E-007,0.4319052053
0.000588375,2.58062E-007,6.296E-007,0.4104708401
0.000467044,1.89313E-007,5.001E-007,0.3790173339
0.000294694,1.01812E-007,3.156E-007,0.3228929196
0.000185906,5.46125E-008,1.991E-007,0.2744827418
0.000147656,4.1725E-008,1.581E-007,0.2640628995
7.39687E-005,1.6275E-008,7.926E-008,0.2054108347
0.00003708,6.2875E-009,3.973E-008,0.1582928062
1.85794E-005,2.39562E-009,1.991E-008,0.1203410304
1.85737E-005,2.39562E-009,1.99E-008,0.1204014883
9.30938E-006,8.96875E-010,0.00000001,0.0899125772
4.66481E-006,3.28688E-010,0.000000005,0.0657422648
3.70575E-006,2.44437E-010,0.000000004,0.061543736
1.47488E-006,6.09687E-011,1.581E-009,0.0385648525
5.8725E-007,1.44875E-011,6.294E-010,0.0230185409
2.33775E-007,3.29125E-012,2.506E-010,0.0131337134
0.000000093,7.19375E-013,9.976E-011,0.0072111496
3.70519E-008,1.51938E-013,3.972E-011,0.0038252636
1.47488E-008,3.105E-014,1.581E-011,0.0019639616
5.8725E-009,6.09E-015,6.295E-012,0.0009674403
6.46875E-010,1.1875E-016,6.93E-013,0.0001713571
1.1925E-010,3.6375E-018,1.27E-013,2.86418515334646E-005
