# Mass density, Pressure, Baryonic density
# Mev/fm^3, Mev/fm^3, fm^-3
3.566e+15, 2.24308e+36, 1e+39
3.564217e+15, 2.2398756e+36, 1e+39
3.562434e+15, 2.2382734e+36, 1e+39
3.560651e+15, 2.235069e+36, 1e+39
3.558868e+15, 2.2334668e+36, 1e+39
3.557085e+15, 2.2302624e+36, 1e+39
3.555302e+15, 2.2286602e+36, 1e+39
3.553519e+15, 2.227058e+36, 1e+39
3.551736e+15, 2.2238536e+36, 1e+39
3.549953e+15, 2.2222514e+36, 1e+39
3.54817e+15, 2.219047e+36, 1e+39
3.546387e+15, 2.2174448e+36, 1e+39
3.544604e+15, 2.2142404e+36, 1e+39
3.542821e+15, 2.2126382e+36, 1e+39
3.541038e+15, 2.211036e+36, 1e+39
3.539255e+15, 2.2078316e+36, 1e+39
3.537472e+15, 2.2062294e+36, 1e+39
3.535689e+15, 2.203025e+36, 1e+39
3.533906e+15, 2.2014228e+36, 1e+39
3.532123e+15, 2.1998206e+36, 1e+39
3.53034e+15, 2.1966162e+36, 1e+39
3.528557e+15, 2.195014e+36, 1e+39
3.526774e+15, 2.1918096e+36, 1e+39
3.524991e+15, 2.1902074e+36, 1e+39
3.523208e+15, 2.187003e+36, 1e+39
3.521425e+15, 2.1854008e+36, 1e+39
3.519642e+15, 2.1837986e+36, 1e+39
3.517859e+15, 2.1805942e+36, 1e+39
3.516076e+15, 2.178992e+36, 1e+39
3.514293e+15, 2.1773898e+36, 1e+39
3.51251e+15, 2.1741854e+36, 1e+39
3.510727e+15, 2.1725832e+36, 1e+39
3.508944e+15, 2.1693788e+36, 1e+39
3.507161e+15, 2.1677766e+36, 1e+39
3.505378e+15, 2.1661744e+36, 1e+39
3.503595e+15, 2.16297e+36, 1e+39
3.501812e+15, 2.1613678e+36, 1e+39
3.500029e+15, 2.1581634e+36, 1e+39
3.498246e+15, 2.1565612e+36, 1e+39
3.496463e+15, 2.154959e+36, 1e+39
3.49468e+15, 2.1517546e+36, 1e+39
3.492897e+15, 2.1501524e+36, 1e+39
3.491114e+15, 2.1485502e+36, 1e+39
3.489331e+15, 2.1453458e+36, 1e+39
3.487548e+15, 2.1437436e+36, 1e+39
3.485765e+15, 2.1405392e+36, 1e+39
3.483982e+15, 2.138937e+36, 1e+39
3.482199e+15, 2.1373348e+36, 1e+39
3.480416e+15, 2.1341304e+36, 1e+39
3.478633e+15, 2.1325282e+36, 1e+39
3.47685e+15, 2.130926e+36, 1e+39
3.475067e+15, 2.1277216e+36, 1e+39
3.473284e+15, 2.1261194e+36, 1e+39
3.471501e+15, 2.1245172e+36, 1e+39
3.469718e+15, 2.1213128e+36, 1e+39
3.467935e+15, 2.1197106e+36, 1e+39
3.466152e+15, 2.1181084e+36, 1e+39
3.464369e+15, 2.114904e+36, 1e+39
3.462586e+15, 2.1133018e+36, 1e+39
3.460803e+15, 2.1116996e+36, 1e+39
3.45902e+15, 2.1084952e+36, 1e+39
3.457237e+15, 2.106893e+36, 1e+39
3.455454e+15, 2.1052908e+36, 1e+39
3.453671e+15, 2.1020864e+36, 1e+39
3.451888e+15, 2.1004842e+36, 1e+39
3.450105e+15, 2.098882e+36, 1e+39
3.448322e+15, 2.0956776e+36, 1e+39
3.446539e+15, 2.0940754e+36, 1e+39
3.444756e+15, 2.0924732e+36, 1e+39
3.442973e+15, 2.0892688e+36, 1e+39
3.44119e+15, 2.0876666e+36, 1e+39
3.439407e+15, 2.0860644e+36, 1e+39
3.437624e+15, 2.08286e+36, 1e+39
3.435841e+15, 2.0812578e+36, 1e+39
3.434058e+15, 2.0796556e+36, 1e+39
3.432275e+15, 2.0764512e+36, 1e+39
3.430492e+15, 2.074849e+36, 1e+39
3.428709e+15, 2.0732468e+36, 1e+39
3.426926e+15, 2.0700424e+36, 1e+39
3.425143e+15, 2.0684402e+36, 1e+39
3.42336e+15, 2.066838e+36, 1e+39
3.421577e+15, 2.0636336e+36, 1e+39
3.419794e+15, 2.0620314e+36, 1e+39
3.418011e+15, 2.0604292e+36, 1e+39
3.416228e+15, 2.058827e+36, 1e+39
3.414445e+15, 2.0556226e+36, 1e+39
3.412662e+15, 2.0540204e+36, 1e+39
3.410879e+15, 2.0524182e+36, 1e+39
3.409096e+15, 2.0492138e+36, 1e+39
3.407313e+15, 2.0476116e+36, 1e+39
3.40553e+15, 2.0460094e+36, 1e+39
3.403747e+15, 2.042805e+36, 1e+39
3.401964e+15, 2.0412028e+36, 1e+39
3.400181e+15, 2.0396006e+36, 1e+39
3.398398e+15, 2.0379984e+36, 1e+39
3.396615e+15, 2.034794e+36, 1e+39
3.394832e+15, 2.0331918e+36, 1e+39
3.393049e+15, 2.0315896e+36, 1e+39
3.391266e+15, 2.0283852e+36, 1e+39
3.389483e+15, 2.026783e+36, 1e+39
3.3877e+15, 2.0251808e+36, 1e+39
3.385917e+15, 2.0235786e+36, 1e+39
3.384134e+15, 2.0203742e+36, 1e+39
3.382351e+15, 2.018772e+36, 1e+39
3.380568e+15, 2.0171698e+36, 1e+39
3.378785e+15, 2.0155676e+36, 1e+39
3.377002e+15, 2.0123632e+36, 1e+39
3.375219e+15, 2.010761e+36, 1e+39
3.373436e+15, 2.0091588e+36, 1e+39
3.371653e+15, 2.0059544e+36, 1e+39
3.36987e+15, 2.0043522e+36, 1e+39
3.368087e+15, 2.00275e+36, 1e+39
3.366304e+15, 2.0011478e+36, 1e+39
3.364521e+15, 1.9979434e+36, 1e+39
3.362738e+15, 1.9963412e+36, 1e+39
3.360955e+15, 1.994739e+36, 1e+39
3.359172e+15, 1.9931368e+36, 1e+39
3.357389e+15, 1.9899324e+36, 1e+39
3.355606e+15, 1.9883302e+36, 1e+39
3.353823e+15, 1.986728e+36, 1e+39
3.35204e+15, 1.9851258e+36, 1e+39
3.350257e+15, 1.9819214e+36, 1e+39
3.348474e+15, 1.9803192e+36, 1e+39
3.346691e+15, 1.978717e+36, 1e+39
3.344908e+15, 1.9771148e+36, 1e+39
3.343125e+15, 1.9739104e+36, 1e+39
3.341342e+15, 1.9723082e+36, 1e+39
3.339559e+15, 1.970706e+36, 1e+39
3.337776e+15, 1.9691038e+36, 1e+39
3.335993e+15, 1.9675016e+36, 1e+39
3.33421e+15, 1.9642972e+36, 1e+39
3.332427e+15, 1.962695e+36, 1e+39
3.330644e+15, 1.9610928e+36, 1e+39
3.328861e+15, 1.9594906e+36, 1e+39
3.327078e+15, 1.9562862e+36, 1e+39
3.325295e+15, 1.954684e+36, 1e+39
3.323512e+15, 1.9530818e+36, 1e+39
3.321729e+15, 1.9514796e+36, 1e+39
3.319946e+15, 1.9482752e+36, 1e+39
3.318163e+15, 1.946673e+36, 1e+39
3.31638e+15, 1.9450708e+36, 1e+39
3.314597e+15, 1.9434686e+36, 1e+39
3.312814e+15, 1.9418664e+36, 1e+39
3.311031e+15, 1.938662e+36, 1e+39
3.309248e+15, 1.9370598e+36, 1e+39
3.307465e+15, 1.9354576e+36, 1e+39
3.305682e+15, 1.9338554e+36, 1e+39
3.303899e+15, 1.9322532e+36, 1e+39
3.302116e+15, 1.9290488e+36, 1e+39
3.300333e+15, 1.9274466e+36, 1e+39
3.29855e+15, 1.9258444e+36, 1e+39
3.296767e+15, 1.9242422e+36, 1e+39
3.294984e+15, 1.92264e+36, 1e+39
3.293201e+15, 1.9194356e+36, 1e+39
3.291418e+15, 1.9178334e+36, 1e+39
3.289635e+15, 1.9162312e+36, 1e+39
3.287852e+15, 1.914629e+36, 1e+39
3.286069e+15, 1.9130268e+36, 1e+39
3.284286e+15, 1.9098224e+36, 1e+39
3.282503e+15, 1.9082202e+36, 1e+39
3.28072e+15, 1.906618e+36, 1e+39
3.278937e+15, 1.9050158e+36, 1e+39
3.277154e+15, 1.9034136e+36, 1e+39
3.275371e+15, 1.9002092e+36, 1e+39
3.273588e+15, 1.898607e+36, 1e+39
3.271805e+15, 1.8970048e+36, 1e+39
3.270022e+15, 1.8954026e+36, 1e+39
3.268239e+15, 1.8938004e+36, 1e+39
3.266456e+15, 1.8921982e+36, 1e+39
3.264673e+15, 1.8889938e+36, 1e+39
3.26289e+15, 1.8873916e+36, 1e+39
3.261107e+15, 1.8857894e+36, 1e+39
3.259324e+15, 1.8841872e+36, 1e+39
3.257541e+15, 1.882585e+36, 1e+39
3.255758e+15, 1.8809828e+36, 1e+39
3.253975e+15, 1.8777784e+36, 1e+39
3.252192e+15, 1.8761762e+36, 1e+39
3.250409e+15, 1.874574e+36, 1e+39
3.248626e+15, 1.8729718e+36, 1e+39
3.246843e+15, 1.8713696e+36, 1e+39
3.24506e+15, 1.8697674e+36, 1e+39
3.243277e+15, 1.866563e+36, 1e+39
3.241494e+15, 1.8649608e+36, 1e+39
3.239711e+15, 1.8633586e+36, 1e+39
3.237928e+15, 1.8617564e+36, 1e+39
3.236145e+15, 1.8601542e+36, 1e+39
3.234362e+15, 1.858552e+36, 1e+39
3.232579e+15, 1.8553476e+36, 1e+39
3.230796e+15, 1.8537454e+36, 1e+39
3.229013e+15, 1.8521432e+36, 1e+39
3.22723e+15, 1.850541e+36, 1e+39
3.225447e+15, 1.8489388e+36, 1e+39
3.223664e+15, 1.8473366e+36, 1e+39
3.221881e+15, 1.8457344e+36, 1e+39
3.220098e+15, 1.84253e+36, 1e+39
3.218315e+15, 1.8409278e+36, 1e+39
3.216532e+15, 1.8393256e+36, 1e+39
3.214749e+15, 1.8377234e+36, 1e+39
3.212966e+15, 1.8361212e+36, 1e+39
3.211183e+15, 1.834519e+36, 1e+39
3.2094e+15, 1.8329168e+36, 1e+39
3.207617e+15, 1.8297124e+36, 1e+39
3.205834e+15, 1.8281102e+36, 1e+39
3.204051e+15, 1.826508e+36, 1e+39
3.202268e+15, 1.8249058e+36, 1e+39
3.200485e+15, 1.8233036e+36, 1e+39
3.198702e+15, 1.8217014e+36, 1e+39
3.196919e+15, 1.8200992e+36, 1e+39
3.195136e+15, 1.818497e+36, 1e+39
3.193353e+15, 1.8152926e+36, 1e+39
3.19157e+15, 1.8136904e+36, 1e+39
3.189787e+15, 1.8120882e+36, 1e+39
3.188004e+15, 1.810486e+36, 1e+39
3.186221e+15, 1.8088838e+36, 1e+39
3.184438e+15, 1.8072816e+36, 1e+39
3.182655e+15, 1.8056794e+36, 1e+39
3.180872e+15, 1.8040772e+36, 1e+39
3.179089e+15, 1.8008728e+36, 1e+39
3.177306e+15, 1.7992706e+36, 1e+39
3.175523e+15, 1.7976684e+36, 1e+39
3.17374e+15, 1.7960662e+36, 1e+39
3.171957e+15, 1.794464e+36, 1e+39
3.170174e+15, 1.7928618e+36, 1e+39
3.168391e+15, 1.7912596e+36, 1e+39
3.166608e+15, 1.7896574e+36, 1e+39
3.164825e+15, 1.7880552e+36, 1e+39
3.163042e+15, 1.7848508e+36, 1e+39
3.161259e+15, 1.7832486e+36, 1e+39
3.159476e+15, 1.7816464e+36, 1e+39
3.157693e+15, 1.7800442e+36, 1e+39
3.15591e+15, 1.778442e+36, 1e+39
3.154127e+15, 1.7768398e+36, 1e+39
3.152344e+15, 1.7752376e+36, 1e+39
3.150561e+15, 1.7736354e+36, 1e+39
3.148778e+15, 1.7720332e+36, 1e+39
3.146995e+15, 1.770431e+36, 1e+39
3.145212e+15, 1.7688288e+36, 1e+39
3.143429e+15, 1.7656244e+36, 1e+39
3.141646e+15, 1.7640222e+36, 1e+39
3.139863e+15, 1.76242e+36, 1e+39
3.13808e+15, 1.7608178e+36, 1e+39
3.136297e+15, 1.7592156e+36, 1e+39
3.134514e+15, 1.7576134e+36, 1e+39
3.132731e+15, 1.7560112e+36, 1e+39
3.130948e+15, 1.754409e+36, 1e+39
3.129165e+15, 1.7528068e+36, 1e+39
3.127382e+15, 1.7512046e+36, 1e+39
3.125599e+15, 1.7496024e+36, 1e+39
3.123816e+15, 1.7480002e+36, 1e+39
3.122033e+15, 1.7447958e+36, 1e+39
3.12025e+15, 1.7431936e+36, 1e+39
3.118467e+15, 1.7415914e+36, 1e+39
3.116684e+15, 1.7399892e+36, 1e+39
3.114901e+15, 1.738387e+36, 1e+39
3.113118e+15, 1.7367848e+36, 1e+39
3.111335e+15, 1.7351826e+36, 1e+39
3.109552e+15, 1.7335804e+36, 1e+39
3.107769e+15, 1.7319782e+36, 1e+39
3.105986e+15, 1.730376e+36, 1e+39
3.104203e+15, 1.7287738e+36, 1e+39
3.10242e+15, 1.7271716e+36, 1e+39
3.100637e+15, 1.7255694e+36, 1e+39
3.098854e+15, 1.7239672e+36, 1e+39
3.097071e+15, 1.722365e+36, 1e+39
3.095288e+15, 1.7191606e+36, 1e+39
3.093505e+15, 1.7175584e+36, 1e+39
3.091722e+15, 1.7159562e+36, 1e+39
3.089939e+15, 1.714354e+36, 1e+39
3.088156e+15, 1.7127518e+36, 1e+39
3.086373e+15, 1.7111496e+36, 1e+39
3.08459e+15, 1.7095474e+36, 1e+39
3.082807e+15, 1.7079452e+36, 1e+39
3.081024e+15, 1.706343e+36, 1e+39
3.079241e+15, 1.7047408e+36, 1e+39
3.077458e+15, 1.7031386e+36, 1e+39
3.075675e+15, 1.7015364e+36, 1e+39
3.073892e+15, 1.6999342e+36, 1e+39
3.072109e+15, 1.698332e+36, 1e+39
3.070326e+15, 1.6967298e+36, 1e+39
3.068543e+15, 1.6951276e+36, 1e+39
3.06676e+15, 1.6935254e+36, 1e+39
3.064977e+15, 1.6919232e+36, 1e+39
3.063194e+15, 1.690321e+36, 1e+39
3.061411e+15, 1.6887188e+36, 1e+39
3.059628e+15, 1.6871166e+36, 1e+39
3.057845e+15, 1.6855144e+36, 1e+39
3.056062e+15, 1.6839122e+36, 1e+39
3.054279e+15, 1.6807078e+36, 1e+39
3.052496e+15, 1.6791056e+36, 1e+39
3.050713e+15, 1.6775034e+36, 1e+39
3.04893e+15, 1.6759012e+36, 1e+39
3.047147e+15, 1.674299e+36, 1e+39
3.045364e+15, 1.6726968e+36, 1e+39
3.043581e+15, 1.6710946e+36, 1e+39
3.041798e+15, 1.6694924e+36, 1e+39
3.040015e+15, 1.6678902e+36, 1e+39
3.038232e+15, 1.666288e+36, 1e+39
3.036449e+15, 1.6646858e+36, 1e+39
3.034666e+15, 1.6630836e+36, 1e+39
3.032883e+15, 1.6614814e+36, 1e+39
3.0311e+15, 1.6598792e+36, 1e+39
3.029317e+15, 1.658277e+36, 1e+39
3.027534e+15, 1.6566748e+36, 1e+39
3.025751e+15, 1.6550726e+36, 1e+39
3.023968e+15, 1.6534704e+36, 1e+39
3.022185e+15, 1.6518682e+36, 1e+39
3.020402e+15, 1.650266e+36, 1e+39
3.018619e+15, 1.6486638e+36, 1e+39
3.016836e+15, 1.6470616e+36, 1e+39
3.015053e+15, 1.6454594e+36, 1e+39
3.01327e+15, 1.6438572e+36, 1e+39
3.011487e+15, 1.642255e+36, 1e+39
3.009704e+15, 1.6406528e+36, 1e+39
3.007921e+15, 1.6390506e+36, 1e+39
3.006138e+15, 1.6374484e+36, 1e+39
3.004355e+15, 1.6358462e+36, 1e+39
