# Mass density,   Pressure,    Baryonic density
#     [g/cm^3], [erg/cm^3],             [cm^-3]
1.7793930201e+15, 7.91365397009e+35, 1e+39
1.76286633069e+15, 7.82662221548e+35, 1e+39
1.71328626248e+15, 7.35939911181e+35, 1e+39
1.70812167204e+15, 7.5105595277e+35, 1e+39
1.36829162114e+15, 5.61933659701e+35, 1e+39
1.3455674232e+15, 5.50539370776e+35, 1e+39
1.28359233793e+15, 5.16413761733e+35, 1e+39
1.26086814e+15, 5.05019472808e+35, 1e+39
1.20095889091e+15, 4.71809987497e+35, 1e+39
1.17823469297e+15, 4.60358440839e+35, 1e+39
1.11832544388e+15, 4.27549759661e+35, 1e+39
1.09560124595e+15, 4.16269986202e+35, 1e+39
1.03362616068e+15, 3.83175016359e+35, 1e+39
1.01090196274e+15, 3.718952429e+35, 1e+39
9.50992713649e+14, 3.39716396789e+35, 1e+39
9.28268515716e+14, 3.28493881063e+35, 1e+39
8.66293430446e+14, 2.96257777219e+35, 1e+39
8.43569232513e+14, 2.85378807893e+35, 1e+39
7.83659983418e+14, 2.54345116448e+35, 1e+39
7.60935785486e+14, 2.43580662589e+35, 1e+39
6.98960700215e+14, 2.12031651544e+35, 1e+39
6.76236502283e+14, 2.01553486351e+35, 1e+39
6.16327253188e+14, 1.71664949572e+35, 1e+39
5.93603055255e+14, 1.61415815313e+35, 1e+39
5.31627969985e+14, 1.31183732133e+35, 1e+39
5.08903772052e+14, 1.21278144274e+35, 1e+39
4.48994522957e+14, 9.23629889604e+34, 1e+39
4.26270325025e+14, 8.26864320338e+34, 1e+39
3.76690256809e+14, 5.69777097849e+34, 1e+39
3.64295239754e+14, 5.45156272533e+34, 1e+39
3.41571041822e+14, 4.54689053929e+34, 1e+39
2.8992513743e+14, 1.5522239567e+33, 1e+39
2.90958055518e+14, 2.17069460761e+34, 1e+39
2.77530120376e+14, 9.13887361811e+33, 1e+39
2.56236116719e+14, 5.232567884e+33, 1e+39
