#energia, pressao, nB, muB
4331.381090, 3682.454518, 2.459874, 1324.386045
4315.804693, 3666.878121, 2.459874, 1319.237659
4300.262950, 3651.336377, 2.459874, 1314.100725
4284.755858, 3635.829286, 2.459874, 1308.975246
4269.283420, 3620.356848, 2.459874, 1303.861220
4253.845634, 3604.919062, 2.459874, 1298.758648
4238.442501, 3589.515929, 2.459874, 1293.667529
4223.074021, 3574.147448, 2.459874, 1288.587864
4207.740193, 3558.813621, 2.459874, 1283.519652
4192.441018, 3543.514446, 2.459874, 1278.462894
4177.176496, 3528.249924, 2.459874, 1273.417590
4161.946627, 3513.020054, 2.459874, 1268.383739
4146.751410, 3497.824838, 2.459874, 1263.361341
4131.590846, 3482.664274, 2.459874, 1258.350398
4116.464934, 3467.538362, 2.459874, 1253.350908
4101.373676, 3452.447104, 2.459874, 1248.362871
4086.317070, 3437.390498, 2.459874, 1243.386288
4071.295117, 3422.368545, 2.459874, 1238.421159
4056.307816, 3407.381244, 2.459874, 1233.467483
4041.355169, 3392.428596, 2.459874, 1228.525261
4026.437174, 3377.510601, 2.459874, 1223.594492
4011.553831, 3362.627259, 2.459874, 1218.675177
3996.705142, 3347.778570, 2.459874, 1213.767316
3981.891105, 3332.964533, 2.459874, 1208.870908
3967.111721, 3318.185149, 2.459874, 1203.985954
3952.366989, 3303.440417, 2.459874, 1199.112453
3937.656911, 3288.730339, 2.459874, 1194.250406
3922.981485, 3274.054913, 2.459874, 1189.399813
3908.340712, 3259.414139, 2.459874, 1184.560673
3893.734591, 3244.808019, 2.459874, 1179.732987
3879.163123, 3230.236551, 2.459874, 1174.916754
3864.626308, 3215.699736, 2.459874, 1170.111975
3850.124146, 3201.197573, 2.459874, 1165.318649
3835.656636, 3186.730064, 2.459874, 1160.536777
3821.223779, 3172.297207, 2.459874, 1155.766359
3806.825575, 3157.899003, 2.459874, 1151.007394
3792.462023, 3143.535451, 2.459874, 1146.259883
3778.133125, 3129.206552, 2.459874, 1141.523825
3763.838878, 3114.912306, 2.459874, 1136.799221
3749.579285, 3100.652713, 2.459874, 1132.086071
3735.354344, 3086.427772, 2.459874, 1127.384374
3721.164057, 3072.237484, 2.459874, 1122.694131
3707.008421, 3058.081849, 2.459874, 1118.015341
3692.887439, 3043.960867, 2.459874, 1113.348005
3678.801109, 3029.874537, 2.459874, 1108.692122
3664.749432, 3015.822860, 2.459874, 1104.047693
3650.732408, 3001.805835, 2.459874, 1099.414718
3636.750036, 2987.823464, 2.459874, 1094.793196
3622.802317, 2973.875745, 2.459874, 1090.183128
3608.889251, 2959.962679, 2.459874, 1085.584513
3595.010838, 2946.084265, 2.459874, 1080.997352
3581.167077, 2932.240504, 2.459874, 1076.421645
3567.357969, 2918.431396, 2.459874, 1071.857391
3553.583513, 2904.656941, 2.459874, 1067.304591
3539.843711, 2890.917139, 2.459874, 1062.763244
3526.138561, 2877.211989, 2.459874, 1058.233351
3512.468064, 2863.541492, 2.459874, 1053.714912
3498.832219, 2849.905647, 2.459874, 1049.207926
3485.231028, 2836.304455, 2.459874, 1044.712393
3471.664489, 2822.737916, 2.459874, 1040.228315
3458.132602, 2809.206030, 2.459874, 1035.755690
3444.635369, 2795.708796, 2.459874, 1031.294518
3431.172788, 2782.246216, 2.459874, 1026.844800
3417.744860, 2768.818287, 2.459874, 1022.406536
3404.351584, 2755.425012, 2.459874, 1017.979725
3390.992962, 2742.066389, 2.459874, 1013.564368
3377.668992, 2728.742419, 2.459874, 1009.160464
3364.379674, 2715.453102, 2.459874, 1004.768014
3351.125010, 2702.198438, 2.459874, 1000.387017
3337.904998, 2688.978426, 2.459874, 996.017474
3324.719639, 2675.793067, 2.459874, 991.659385
3311.568933, 2662.642360, 2.459874, 987.312749
3298.452879, 2649.526307, 2.459874, 982.977567
3285.371478, 2636.444906, 2.459874, 978.653839
3272.324730, 2623.398157, 2.459874, 974.341564
3259.312634, 2610.386062, 2.459874, 970.040742
3246.335191, 2597.408619, 2.459874, 965.751375
3233.392401, 2584.465829, 2.459874, 961.473460
