#  energia,    pressao,       nB,         muB,   muBGibbs
949.674975, 273.348402, 0.819958, 1491.568134, 271.782973
949.172504, 272.845932, 0.819958, 1490.342534, 272.164462
948.671152, 272.344580, 0.819958, 1489.119661, 272.548154
948.170917, 271.844345, 0.819958, 1487.899514, 272.934063
947.671801, 271.345228, 0.819958, 1486.682094, 273.322204
947.173802, 270.847230, 0.819958, 1485.467401, 273.712591
946.676921, 270.350349, 0.819958, 1484.255434, 274.105241
946.181158, 269.854585, 0.819958, 1483.046193, 274.500168
945.686512, 269.359940, 0.819958, 1481.839680, 274.897387
945.192985, 268.866413, 0.819958, 1480.635893, 275.296916
944.700575, 268.374003, 0.819958, 1479.434832, 275.698768
944.209283, 267.882711, 0.819958, 1478.236498, 276.102960
943.719109, 267.392537, 0.819958, 1477.040891, 276.509508
943.230053, 266.903481, 0.819958, 1475.848010, 276.918429
942.742115, 266.415543, 0.819958, 1474.657856, 277.329738
942.255295, 265.928722, 0.819958, 1473.470429, 277.743452
941.769592, 265.443020, 0.819958, 1472.285728, 278.159588
941.285007, 264.958435, 0.819958, 1471.103753, 278.578162
940.801540, 264.474968, 0.819958, 1469.924505, 278.999192
940.319191, 263.992619, 0.819958, 1468.747984, 279.422694
939.837960, 263.511388, 0.819958, 1467.574189, 279.848686
939.357847, 263.031274, 0.819958, 1466.403121, 280.277184
938.878851, 262.552279, 0.819958, 1465.234780, 280.708208
938.400974, 262.074401, 0.819958, 1464.069165, 281.141774
937.924214, 261.597641, 0.819958, 1462.906277, 281.577900
937.448572, 261.121999, 0.819958, 1461.746115, 282.016605
936.974048, 260.647475, 0.819958, 1460.588680, 282.457906
936.500641, 260.174069, 0.819958, 1459.433971, 282.901823
936.028353, 259.701780, 0.819958, 1458.281989, 283.348373
935.557182, 259.230610, 0.819958, 1457.132734, 283.797575
935.087129, 258.760557, 0.819958, 1455.986205, 284.249449
934.618194, 258.291622, 0.819958, 1454.842403, 284.704013
934.150377, 257.823805, 0.819958, 1453.701327, 285.161288
933.683678, 257.357106, 0.819958, 1452.562978, 285.621291
933.218097, 256.891524, 0.819958, 1451.427356, 286.084043
932.753633, 256.427061, 0.819958, 1450.294460, 286.549565
932.290287, 255.963715, 0.819958, 1449.164290, 287.017875
931.828059, 255.501487, 0.819958, 1448.036848, 287.488994
931.366949, 255.040377, 0.819958, 1446.912132, 287.962943
930.906957, 254.580385, 0.819958, 1445.790142, 288.439743
930.448083, 254.121510, 0.819958, 1444.670879, 288.919413
929.990326, 253.663754, 0.819958, 1443.554343, 289.401976
929.533687, 253.207115, 0.819958, 1442.440533, 289.887452
929.078167, 252.751594, 0.819958, 1441.329450, 290.375863
928.623764, 252.297191, 0.819958, 1440.221093, 290.867230
928.170478, 251.843906, 0.819958, 1439.115463, 291.361576
927.718311, 251.391739, 0.819958, 1438.012560, 291.858923
927.267262, 250.940689, 0.819958, 1436.912383, 292.359293
