


#-----------------------------------------------------
# EOS unit converter - Vs 0.1
# Eos File : ../MFTQCD_B_75_7MeV_auto.csv
# Converting nuclear -> cgs
# DO NOT FORGET TO REMOVE THESE LINES!!!
#-----------------------------------------------------

# Mass density,   Pressure,    Baryonic density
#     [g/cm^3], [erg/cm^3],             [cm^-3]
1.7793930201e+15, 3.46701840251e+35, 1e+39
1.73084586997e+15, 3.31979445578e+35, 1e+39
1.68023288366e+15, 3.17189568576e+35, 1e+39
1.63065281545e+15, 3.02703362053e+35, 1e+39
1.58107274723e+15, 2.88037202653e+35, 1e+39
1.53045976093e+15, 2.73168596268e+35, 1e+39
1.47984677462e+15, 2.58794860293e+35, 1e+39
1.43026670641e+15, 2.44128700893e+35, 1e+39
1.3796537201e+15, 2.29709976698e+35, 1e+39
1.33007365189e+15, 2.15223770175e+35, 1e+39
1.27946066558e+15, 2.00400152009e+35, 1e+39
1.22988059737e+15, 1.85823969048e+35, 1e+39
1.17926761106e+15, 1.71607691839e+35, 1e+39
1.12865462476e+15, 1.56851556001e+35, 1e+39
1.07907455654e+15, 1.42545302354e+35, 1e+39
1.02846157024e+15, 1.27834154736e+35, 1e+39
9.7888150202e+14, 1.13899053895e+35, 1e+39
9.28268515716e+14, 9.91766592223e+34, 1e+39
8.786884475e+14, 8.48704055751e+34, 1e+39
8.28075461195e+14, 7.0282975559e+34, 1e+39
7.77462474891e+14, 5.59879689666e+34, 1e+39
7.27882406675e+14, 4.22215739475e+34, 1e+39
6.78302338458e+14, 2.77353674243e+34, 1e+39
6.55578140526e+14, 1.04835590372e+33, 1e+39
6.3905145112e+14, 9.22388890472e+32, 1e+39
6.31821024505e+14, 1.44638428144e+34, 1e+39
6.1809796991e+14, 3.64867496287e+33, 1e+39
5.93603055255e+14, 8.65131157178e+32, 1e+39
