# energia, pressao, rho, muB
2943.8363099253, 1207.6248242952, 4.5, 922.5469187162
2934.6158401219, 1203.1298807329, 4.49, 921.5469311471
2925.405373977, 1198.6415370195, 4.48, 920.5461854894
2916.2049190861, 1194.1597957582, 4.47, 919.5446789368
2907.0144830818, 1189.6846595652, 4.46, 918.5424086662
2897.834073615, 1185.2161310628, 4.45, 917.5393718378
2888.6636983672, 1180.7542128843, 4.44, 916.5355655947
2879.5033650244, 1176.2989076646, 4.43, 915.5309870629
2870.3530813472, 1171.8502180638, 4.42, 914.5256333513
2861.2128550944, 1167.4081467421, 4.41, 913.5195015515
2852.08269407, 1162.9726963747, 4.4, 912.5125887373
2842.9626060885, 1158.543869641, 4.39, 911.5048919651
2833.8525989947, 1154.1216692308, 4.38, 910.4964082733
2824.7526806985, 1149.7060978559, 4.37, 909.4871346826
2815.6628591008, 1145.2971582256, 4.36, 908.4770681953
2806.58314214, 1140.8948530621, 4.35, 907.4662057957
2797.5135378083, 1136.4991851058, 4.34, 906.4545444494
2788.4540540869, 1132.110157094, 4.33, 905.4420811037
2779.4046990214, 1127.7277717858, 4.32, 904.4288126871
2770.3654806842, 1123.3520319495, 4.31, 903.4147361091
2761.3364071593, 1118.9829403578, 4.3, 902.3998482603
2752.317486589, 1114.6204998034, 4.29, 901.3841460121
2743.3087271222, 1110.2647130813, 4.28, 900.3676262165
2734.3101369588, 1105.9155830041, 4.27, 899.3502857058
2725.3217243228, 1101.5731123929, 4.26, 898.3321212929
2716.3434974497, 1097.2373040729, 4.25, 897.3131297706
2707.3754646553, 1092.9081608965, 4.24, 896.2933079119
2698.4176342388, 1088.5856857112, 4.23, 895.2726524692
2689.470014553, 1084.2698813826, 4.22, 894.2511601749
2680.5326139964, 1079.960750792, 4.21, 893.2288277407
2671.6054409733, 1075.6582968232, 4.2, 892.2056518575
2662.6885039499, 1071.3625223809, 4.19, 891.1816291954
2653.7818113978, 1067.0734303721, 4.18, 890.1567564032
2644.8853718359, 1062.7910237202, 4.17, 889.1310301086
2635.9991938221, 1058.5153053617, 4.16, 888.1044469178
2627.1232859334, 1054.2462782403, 4.15, 887.0770034152
2618.2576567996, 1049.9839453174, 4.14, 886.0486961635
2609.4023150687, 1045.7283095613, 4.13, 885.0195217033
2600.5572694396, 1041.4793739575, 4.12, 883.989476553
2591.7225286348, 1037.2371414996, 4.11, 882.9585572085
2582.8981013996, 1033.00161519, 4.1, 881.926760143
2574.0839965374, 1028.7727980503, 4.09, 880.894081807
2565.2802228869, 1024.5506931144, 4.08, 879.8605186279
2556.4867893076, 1020.335303424, 4.07, 878.8260670098
2547.7037047, 1016.1266320346, 4.06, 877.7907233335
2538.9309780069, 1011.9246820165, 4.05, 876.7544839558
