mit_bag_model_eos
# epsilon [MeV/fm^3], pressure [MeV/fm^3], baryonic_density [1/fm^3]
2000.0, 586.6608, 1
1989.94974874, 583.310749749, 1
1979.89949749, 579.960699497, 1
1969.84924623, 576.610649246, 1
1959.79899497, 573.260598995, 1
1949.74874372, 569.910548744, 1
1939.69849246, 566.560498492, 1
1929.64824121, 563.210448241, 1
1919.59798995, 559.86039799, 1
1909.54773869, 556.510347739, 1
1899.49748744, 553.160297487, 1
1889.44723618, 549.810247236, 1
1879.39698492, 546.460196985, 1
1869.34673367, 543.110146734, 1
1859.29648241, 539.760096482, 1
1849.24623116, 536.410046231, 1
1839.1959799, 533.05999598, 1
1829.14572864, 529.709945729, 1
1819.09547739, 526.359895477, 1
1809.04522613, 523.009845226, 1
1798.99497487, 519.659794975, 1
1788.94472362, 516.309744724, 1
1778.89447236, 512.959694472, 1
1768.84422111, 509.609644221, 1
1758.79396985, 506.25959397, 1
1748.74371859, 502.909543719, 1
1738.69346734, 499.559493467, 1
1728.64321608, 496.209443216, 1
1718.59296482, 492.859392965, 1
1708.54271357, 489.509342714, 1
1698.49246231, 486.159292462, 1
1688.44221106, 482.809242211, 1
1678.3919598, 479.45919196, 1
1668.34170854, 476.109141709, 1
1658.29145729, 472.759091457, 1
1648.24120603, 469.409041206, 1
1638.19095477, 466.058990955, 1
1628.14070352, 462.708940704, 1
1618.09045226, 459.358890452, 1
1608.04020101, 456.008840201, 1
1597.98994975, 452.65878995, 1
1587.93969849, 449.308739698, 1
1577.88944724, 445.958689447, 1
1567.83919598, 442.608639196, 1
1557.78894472, 439.258588945, 1
1547.73869347, 435.908538693, 1
1537.68844221, 432.558488442, 1
1527.63819095, 429.208438191, 1
1517.5879397, 425.85838794, 1
1507.53768844, 422.508337688, 1
1497.48743719, 419.158287437, 1
1487.43718593, 415.808237186, 1
1477.38693467, 412.458186935, 1
1467.33668342, 409.108136683, 1
1457.28643216, 405.758086432, 1
1447.2361809, 402.408036181, 1
1437.18592965, 399.05798593, 1
1427.13567839, 395.707935678, 1
1417.08542714, 392.357885427, 1
1407.03517588, 389.007835176, 1
1396.98492462, 385.657784925, 1
1386.93467337, 382.307734673, 1
1376.88442211, 378.957684422, 1
1366.83417085, 375.607634171, 1
1356.7839196, 372.25758392, 1
1346.73366834, 368.907533668, 1
1336.68341709, 365.557483417, 1
1326.63316583, 362.207433166, 1
1316.58291457, 358.857382915, 1
1306.53266332, 355.507332663, 1
1296.48241206, 352.157282412, 1
1286.4321608, 348.807232161, 1
1276.38190955, 345.45718191, 1
1266.33165829, 342.107131658, 1
1256.28140704, 338.757081407, 1
1246.23115578, 335.407031156, 1
1236.18090452, 332.056980905, 1
1226.13065327, 328.706930653, 1
1216.08040201, 325.356880402, 1
1206.03015075, 322.006830151, 1
1195.9798995, 318.656779899, 1
1185.92964824, 315.306729648, 1
1175.87939698, 311.956679397, 1
1165.82914573, 308.606629146, 1
1155.77889447, 305.256578894, 1
1145.72864322, 301.906528643, 1
1135.67839196, 298.556478392, 1
1125.6281407, 295.206428141, 1
1115.57788945, 291.856377889, 1
1105.52763819, 288.506327638, 1
1095.47738693, 285.156277387, 1
1085.42713568, 281.806227136, 1
1075.37688442, 278.456176884, 1
1065.32663317, 275.106126633, 1
1055.27638191, 271.756076382, 1
1045.22613065, 268.406026131, 1
1035.1758794, 265.055975879, 1
1025.12562814, 261.705925628, 1
1015.07537688, 258.355875377, 1
1005.02512563, 255.005825126, 1
994.974874372, 251.655774874, 1
984.924623116, 248.305724623, 1
974.874371859, 244.955674372, 1
964.824120603, 241.605624121, 1
954.773869347, 238.255573869, 1
944.72361809, 234.905523618, 1
934.673366834, 231.555473367, 1
924.623115578, 228.205423116, 1
914.572864322, 224.855372864, 1
904.522613065, 221.505322613, 1
894.472361809, 218.155272362, 1
884.422110553, 214.805222111, 1
874.371859296, 211.455171859, 1
864.32160804, 208.105121608, 1
854.271356784, 204.755071357, 1
844.221105528, 201.405021106, 1
834.170854271, 198.054970854, 1
824.120603015, 194.704920603, 1
814.070351759, 191.354870352, 1
804.020100503, 188.004820101, 1
793.969849246, 184.654769849, 1
783.91959799, 181.304719598, 1
773.869346734, 177.954669347, 1
763.819095477, 174.604619095, 1
753.768844221, 171.254568844, 1
743.718592965, 167.904518593, 1
733.668341709, 164.554468342, 1
723.618090452, 161.20441809, 1
713.567839196, 157.854367839, 1
703.51758794, 154.504317588, 1
693.467336683, 151.154267337, 1
683.417085427, 147.804217085, 1
673.366834171, 144.454166834, 1
663.316582915, 141.104116583, 1
653.266331658, 137.754066332, 1
643.216080402, 134.40401608, 1
633.165829146, 131.053965829, 1
623.115577889, 127.703915578, 1
613.065326633, 124.353865327, 1
603.015075377, 121.003815075, 1
592.964824121, 117.653764824, 1
582.914572864, 114.303714573, 1
572.864321608, 110.953664322, 1
562.814070352, 107.60361407, 1
552.763819095, 104.253563819, 1
542.713567839, 100.903513568, 1
532.663316583, 97.5534633166, 1
522.613065327, 94.2034130653, 1
512.56281407, 90.8533628141, 1
502.512562814, 87.5033125628, 1
492.462311558, 84.1532623116, 1
482.412060302, 80.8032120603, 1
472.361809045, 77.453161809, 1
462.311557789, 74.1031115578, 1
452.261306533, 70.7530613065, 1
442.211055276, 67.4030110553, 1
432.16080402, 64.052960804, 1
422.110552764, 60.7029105528, 1
412.060301508, 57.3528603015, 1
402.010050251, 54.0028100503, 1
391.959798995, 50.652759799, 1
381.909547739, 47.3027095477, 1
371.859296482, 43.9526592965, 1
361.809045226, 40.6026090452, 1
351.75879397, 37.252558794, 1
341.708542714, 33.9025085427, 1
331.658291457, 30.5524582915, 1
321.608040201, 27.2024080402, 1
311.557788945, 23.8523577889, 1
301.507537688, 20.5023075377, 1
291.457286432, 17.1522572864, 1
281.407035176, 13.8022070352, 1
271.35678392, 10.4521567839, 1
