# Mass density, Pressure, Baryonic density
# Mev/fm^3, Mev/fm^3, fm^-3
7853.44, 21285220.0, 0.987
7292.48, 15979520.0, 1.8
6731.52, 12047060.0, 2.27
6170.56, 9113320.0, 2.49
5609.6, 7053460.0, 2.53
5048.64, 5517928.0, 2.45
4487.68, 4394368.0, 2.3
3926.72, 3526730.0, 2.11
3365.76, 2796416.0, 1.91
2804.8, 2134764.0, 1.71
2271.888, 1541774.0, 1.5
2025.0656, 1279610.0, 1.4
1800.6816, 1042414.0, 1.3
1587.5168, 836428.0, 1.2
1391.1808, 655410.0, 1.1
1211.6736, 500608.4, 1.0
1127.5296, 432570.6, 0.95
1048.9952, 371399.0, 0.9
970.4608, 315221.0, 0.85
897.536, 265909.2, 0.8
824.6112, 220966.8, 0.75
757.296, 181642.2, 0.7
718.0288, 159795.2, 0.67
678.7616, 139820.8, 0.64
639.4944, 121719.0, 0.61
605.8368, 104865.6, 0.58
566.5696, 89260.6, 0.549
531.22912, 76152.4, 0.52
496.4496, 63668.4, 0.49
462.23104, 52432.8, 0.46
429.1344, 42570.44, 0.43
396.59872, 34018.9, 0.4
364.624, 26590.92, 0.371
332.64928, 20411.34, 0.341
301.79648, 15292.9, 0.311
271.50464, 11235.6, 0.28
241.2128, 8301.86, 0.25
211.48192, 6366.84, 0.22
181.75104, 5499.202, 0.189
