# mass density [g cm-3], pressure [erg cm-3], baryon density [1/fm-3]
4.272646e+15, 1.523042e+36, 2e+39
4.222727e+15, 1.496202e+36, 2e+39
4.173021e+15, 1.469589e+36, 2e+39
4.123528e+15, 1.443201e+36, 2e+39
4.074253e+15, 1.417041e+36, 2e+39
4.025191e+15, 1.391106e+36, 2e+39
3.976343e+15, 1.365399e+36, 2e+39
3.927709e+15, 1.339919e+36, 2e+39
3.879289e+15, 1.314666e+36, 2e+39
3.831081e+15, 1.289640e+36, 2e+39
3.783087e+15, 1.264842e+36, 2e+39
3.735303e+15, 1.240271e+36, 2e+39
3.687730e+15, 1.215929e+36, 2e+39
3.640372e+15, 1.191814e+36, 1e+39
3.593222e+15, 1.167928e+36, 1e+39
3.546283e+15, 1.144271e+36, 1e+39
3.499553e+15, 1.120843e+36, 1e+39
3.453033e+15, 1.097643e+36, 1e+39
3.406720e+15, 1.074673e+36, 1e+39
3.360615e+15, 1.051932e+36, 1e+39
3.314721e+15, 1.029421e+36, 1e+39
3.269030e+15, 1.007140e+36, 1e+39
3.223550e+15, 9.850890e+35, 1e+39
3.178274e+15, 9.632685e+35, 1e+39
3.133204e+15, 9.416788e+35, 1e+39
3.088339e+15, 9.203201e+35, 1e+39
3.043677e+15, 8.991926e+35, 1e+39
2.999222e+15, 8.782966e+35, 1e+39
2.954969e+15, 8.576324e+35, 1e+39
2.910923e+15, 8.372003e+35, 1e+39
2.867079e+15, 8.170006e+35, 1e+39
2.823437e+15, 7.970335e+35, 1e+39
2.780001e+15, 7.772994e+35, 1e+39
2.736768e+15, 7.577986e+35, 1e+39
2.693743e+15, 7.385313e+35, 1e+39
2.650924e+15, 7.194978e+35, 1e+39
2.608311e+15, 7.006984e+35, 1e+39
2.565909e+15, 6.821335e+35, 1e+39
2.523721e+15, 6.638033e+35, 1e+39
2.481751e+15, 6.457080e+35, 1e+39
2.440010e+15, 6.278478e+35, 1e+39
2.398506e+15, 6.102230e+35, 1e+39
2.357256e+15, 5.928335e+35, 1e+39
2.316292e+15, 5.756795e+35, 1e+39
2.275672e+15, 5.587605e+35, 1e+39
2.235600e+15, 5.420757e+35, 1e+39
2.196360e+15, 5.256221e+35, 1e+39
2.157260e+15, 5.093985e+35, 1e+39
2.118288e+15, 4.934058e+35, 1e+39
2.079444e+15, 4.776448e+35, 1e+39
2.040721e+15, 4.621161e+35, 1e+39
2.002113e+15, 4.468207e+35, 9e+38
1.963615e+15, 4.317594e+35, 9e+38
1.925223e+15, 4.169332e+35, 9e+38
1.886928e+15, 4.023431e+35, 9e+38
1.848725e+15, 3.879901e+35, 9e+38
1.810608e+15, 3.738753e+35, 9e+38
1.772567e+15, 3.599999e+35, 9e+38
1.734595e+15, 3.463650e+35, 8e+38
1.696683e+15, 3.329720e+35, 8e+38
1.658823e+15, 3.198223e+35, 8e+38
1.621005e+15, 3.069172e+35, 8e+38
1.583217e+15, 2.942584e+35, 8e+38
1.545449e+15, 2.818474e+35, 8e+38
1.507690e+15, 2.696860e+35, 8e+38
1.469926e+15, 2.577760e+35, 7e+38
1.432143e+15, 2.461195e+35, 7e+38
1.394326e+15, 2.347183e+35, 7e+38
1.356460e+15, 2.235749e+35, 7e+38
1.318528e+15, 2.126915e+35, 7e+38
1.280511e+15, 2.020706e+35, 7e+38
1.242390e+15, 1.917150e+35, 6e+38
1.204144e+15, 1.816276e+35, 6e+38
1.165753e+15, 1.718113e+35, 6e+38
1.127190e+15, 1.622695e+35, 6e+38
1.088437e+15, 1.530057e+35, 6e+38
1.049468e+15, 1.440236e+35, 6e+38
1.010260e+15, 1.353271e+35, 5e+38
9.707974e+14, 1.269204e+35, 5e+38
9.310701e+14, 1.188078e+35, 5e+38
8.910923e+14, 1.109938e+35, 5e+38
8.509309e+14, 1.034826e+35, 5e+38
8.108154e+14, 9.627729e+34, 4e+38
7.727109e+14, 8.937626e+34, 4e+38
7.386250e+14, 8.275091e+34, 4e+38
7.046743e+14, 7.639154e+34, 4e+38
6.710670e+14, 7.029870e+34, 4e+38
6.382194e+14, 6.447054e+34, 4e+38
6.071411e+14, 5.889998e+34, 3e+38
5.819758e+14, 5.356078e+34, 3e+38
5.588224e+14, 4.841304e+34, 3e+38
5.351543e+14, 4.345831e+34, 3e+38
5.109059e+14, 3.870294e+34, 3e+38
4.860079e+14, 3.415395e+34, 3e+38
4.603751e+14, 2.981914e+34, 3e+38
4.339109e+14, 2.570726e+34, 2e+38
4.065022e+14, 2.182811e+34, 2e+38
3.780138e+14, 1.819276e+34, 2e+38
3.482823e+14, 1.481383e+34, 2e+38
3.171122e+14, 1.170574e+34, 2e+38
2.842623e+14, 8.885200e+33, 2e+38
2.494657e+14, 6.371571e+33, 1e+38
2.127962e+14, 4.186395e+33, 1e+38
1.732029e+14, 2.351459e+33, 1e+38
1.259782e+14, 9.185918e+32, 7e+37
4.838815e+13, 2.513506e+31, 3e+37
4.711738e+13, 1.203935e+32, 3e+37
4.078869e+13, 9.942103e+31, 2e+37
3.613222e+13, 8.472810e+31, 2e+37
2.791282e+13, 6.031589e+31, 2e+37
2.109403e+13, 4.163049e+31, 1e+37
1.681550e+13, 3.076180e+31, 1e+37
1.262416e+13, 2.092235e+31, 0e+00
9.638585e+12, 1.453276e+31, 0e+00
7.529182e+12, 1.041917e+31, 0e+00
5.729450e+12, 7.240239e+30, 0e+00
4.493795e+12, 5.275073e+30, 3e+36
3.426253e+12, 3.751194e+30, 2e+36
2.729939e+12, 2.860383e+30, 2e+36
2.119329e+12, 2.157636e+30, 1e+36
1.758642e+12, 1.781621e+30, 1e+36
1.286276e+12, 1.338819e+30, 0e+00
1.017112e+12, 1.114314e+30, 6e+35
8.964726e+11, 1.020488e+30, 0e+00
7.853289e+11, 9.379450e+29, 0e+00
6.839283e+11, 8.656067e+29, 0e+00
5.926523e+11, 8.025803e+29, 0e+00
5.120641e+11, 7.478659e+29, 0e+00
4.430831e+11, 7.004014e+29, 3e+35
3.874560e+11, 6.590252e+29, 2e+35
3.697430e+11, 6.439151e+29, 2e+35
3.503743e+11, 6.223465e+29, 2e+35
9.654838e+10, 1.451973e+29, 0e+00
8.357627e+10, 1.101497e+29, 0e+00
6.635384e+10, 8.100000e+28, 0e+00
5.051474e+10, 5.957087e+28, 0e+00
4.184320e+10, 4.634298e+28, 3e+34
3.323208e+10, 3.408632e+28, 2e+34
2.539264e+10, 2.506398e+28, 2e+34
2.096179e+10, 1.940637e+28, 1e+34
1.665110e+10, 1.426939e+28, 1e+34
1.322263e+10, 1.049426e+28, 0e+00
1.013501e+10, 7.712481e+27, 6e+33
8.050879e+09, 5.669705e+27, 0e+00
6.622339e+09, 4.367936e+27, 0e+00
4.176301e+09, 2.359206e+27, 3e+33
2.551294e+09, 1.273731e+27, 2e+33
1.609974e+09, 6.869335e+26, 1e+33
1.214999e+09, 5.042853e+26, 0e+00
1.048589e+09, 4.134611e+26, 6e+32
8.323552e+08, 3.033130e+26, 0e+00
5.251969e+08, 1.631209e+26, 0e+00
3.313174e+08, 8.749891e+25, 2e+32
2.631492e+08, 6.685085e+25, 2e+32
1.318253e+08, 2.607544e+25, 0e+00
6.608313e+07, 1.007369e+25, 0e+00
3.311178e+07, 3.838208e+24, 2e+31
3.310162e+07, 3.838208e+24, 2e+31
1.659096e+07, 1.436953e+24, 1e+31
8.313518e+06, 5.266165e+23, 0e+00
6.604303e+06, 3.916314e+23, 0e+00
2.628498e+06, 9.768267e+22, 2e+30
1.046584e+06, 2.321154e+22, 6e+29
4.166285e+05, 5.273166e+21, 3e+29
1.658093e+05, 1.152566e+21, 1e+29
6.603305e+04, 2.434316e+20, 0e+00
2.628498e+04, 4.974761e+19, 2e+28
1.046584e+04, 9.757260e+18, 6e+27
1.152846e+03, 1.902586e+17, 7e+26
2.125246e+02, 5.827920e+15, 1e+26
# mass density [g cm-3], pressure [erg cm-3], baryon density [1/fm-3]
