rho,x,y,z,w,energia,pressao,energiamit,pressaomit,(pressao/pressaomit),fermie,fermip,hardgluons,nu,nd,ns,ne,nB,muB,muBGibbs
4.5,3.5413660871,3.5816418022,3.5001510381,0.0402811255,2943.8363099253,1207.6248242952,2451.6992557141,715.487770084,1.6878343345,2391.6992557141,775.487770084,492.1370542112,4.5000022074,4.6552896213,4.3447081713,2.20741399324639E-006,4.5,922.5469187162,922.5469187157
4.49,3.5387409099,3.57904582,3.4974945707,0.0403104385,2934.6158401219,1203.1298807329,2444.6636314008,713.1776720118,1.6869988054,2384.6636314008,773.1776720118,489.9522087211,4.4900022122,4.6451744627,4.3348233251,2.21223656968581E-006,4.49,921.5469311471,921.5469311481
4.48,3.5361118321,3.5764460225,3.4948341079,0.0403398371,2925.405373977,1198.6415370195,2437.6331501331,710.8693131756,1.6861630047,2377.6331501331,770.8693131756,487.772223844,4.4800022171,4.6350591328,4.3249386501,2.21708028408158E-006,4.48,920.5461854894,920.5461854903
4.47,3.5334788391,3.5738423955,3.4921696347,0.0403693217,2916.2049190861,1194.1597957582,2430.6078195064,708.5626961786,1.6853269332,2370.6078195064,768.5626961786,485.5970995797,4.4700022219,4.6249436311,4.3150541469,2.2219452711176E-006,4.47,919.5446789368,919.5446789361
4.46,3.5308419162,3.5712349248,3.489501136,0.0403988928,2907.0144830818,1189.6846595652,2423.5876471535,706.2578236369,1.6844905922,2363.5876471535,766.2578236369,483.4268359283,4.4600022268,4.6148279569,4.3051698162,2.2268316622829E-006,4.46,918.5424086662,918.5424086652
4.45,3.5282010488,3.5686235963,3.4868285966,0.0404285508,2897.834073615,1185.2161310628,2416.5726407253,703.9546981731,1.6836539825,2356.5726407253,763.9546981731,481.2614328897,4.4500022317,4.6047121096,4.2952856586,2.23173960289591E-006,4.45,917.5393718378,917.5393718377
4.44,3.525556222,3.5660083955,3.4841520011,0.040458296,2888.6636983672,1180.7542128843,2409.5628079032,701.6533224202,1.6828171052,2349.5628079032,761.6533224202,479.1008904641,4.4400022367,4.5945960885,4.2854016748,2.23666922514086E-006,4.44,916.5355655947,916.5355655972
4.43,3.5229074211,3.5633893081,3.4814713342,0.0404881292,2879.5033650244,1176.2989076646,2402.5581563731,699.3536990133,1.6819799614,2342.5581563731,759.3536990133,476.9452086513,4.4300022416,4.584479893,4.2755178654,2.24162070478766E-006,4.43,915.5309870629,915.530987063
4.42,3.520254631,3.5607663195,3.4787865804,0.0405180505,2870.3530813472,1171.8502180638,2395.5586938958,697.0558306124,1.6811425521,2335.5586938958,757.0558306124,474.7943874514,4.4200022466,4.5743635223,4.2656342311,2.24659415881643E-006,4.42,914.5256333513,914.5256333509
4.41,3.5175978368,3.5581394152,3.4760977241,0.0405480607,2861.2128550944,1167.4081467421,2388.56442823,694.7597198777,1.6803048786,2328.56442823,754.7597198777,472.6484268644,4.4100022516,4.5642469759,4.2557507725,2.25158975121545E-006,4.41,913.5195015515,913.5195015502
