################################################################################
# config_name = sly_4_MFTQCD.properties.conf
# quarks_eos_file_name = ../eos.mft.qcd.NUC/MFT.QCD.B_100_XI_0.0015.FULL.NUC.csv
# hadrons_eos_file_name = ../eos.sly4/sly4.dat.NUC.csv
#
# Range Quarks - P(mu) = EoSRange(inf_limit=645.01543742, sup_limit=2373.6653975955555)
# Range Hadrons - P(mu)  = EoSRange(inf_limit=924.0063717038253, sup_limit=3566.1298585739605)
#
# Range = EoSRange(inf_limit=924.0063717038253, sup_limit=2373.6653975955555)
#
# Transition pressure (hadrons) = [ 40.72349004 MeV/fm3] = [6.5246251e34 erg/cm3]
# Transition pressure (quarks) = [ 40.72349004] = [6.5246251e34 erg/cm3]
#
################################################################################
# rho, pressure, chem_potential
4.347050e+16, 4.512420e+36, 3.803033e-03
4.338093e+16, 4.501969e+36, 3.800708e-03
4.329145e+16, 4.491531e+36, 3.798383e-03
4.320207e+16, 4.481106e+36, 3.796058e-03
4.311285e+16, 4.470702e+36, 3.793733e-03
4.302373e+16, 4.460311e+36, 3.791408e-03
4.293471e+16, 4.449934e+36, 3.789083e-03
4.284585e+16, 4.439576e+36, 3.786758e-03
4.275710e+16, 4.429234e+36, 3.784433e-03
4.266844e+16, 4.418904e+36, 3.782108e-03
4.257992e+16, 4.408593e+36, 3.779783e-03
4.249154e+16, 4.398299e+36, 3.777459e-03
4.240324e+16, 4.388017e+36, 3.775134e-03
4.231508e+16, 4.377752e+36, 3.772809e-03
4.222705e+16, 4.367505e+36, 3.770484e-03
4.213912e+16, 4.357271e+36, 3.768159e-03
4.205131e+16, 4.347052e+36, 3.765834e-03
4.196364e+16, 4.336853e+36, 3.763509e-03
4.187607e+16, 4.326666e+36, 3.761184e-03
4.178861e+16, 4.316494e+36, 3.758859e-03
4.170131e+16, 4.306342e+36, 3.756534e-03
4.161409e+16, 4.296202e+36, 3.754209e-03
4.152699e+16, 4.286077e+36, 3.751884e-03
4.144004e+16, 4.275973e+36, 3.749559e-03
4.135318e+16, 4.265880e+36, 3.747234e-03
4.126643e+16, 4.255801e+36, 3.744909e-03
4.117984e+16, 4.245743e+36, 3.742584e-03
4.109334e+16, 4.235697e+36, 3.740260e-03
4.100695e+16, 4.225665e+36, 3.737935e-03
4.092071e+16, 4.215654e+36, 3.735610e-03
4.083457e+16, 4.205655e+36, 3.733285e-03
4.074853e+16, 4.195669e+36, 3.730960e-03
4.066265e+16, 4.185705e+36, 3.728635e-03
4.057686e+16, 4.175753e+36, 3.726310e-03
4.049118e+16, 4.165813e+36, 3.723985e-03
4.040566e+16, 4.155896e+36, 3.721660e-03
4.032022e+16, 4.145990e+36, 3.719335e-03
4.023489e+16, 4.136097e+36, 3.717010e-03
4.014972e+16, 4.126226e+36, 3.714685e-03
4.006464e+16, 4.116366e+36, 3.712360e-03
3.997967e+16, 4.106520e+36, 3.710035e-03
3.989485e+16, 4.096695e+36, 3.707710e-03
3.981012e+16, 4.086881e+36, 3.705386e-03
3.972550e+16, 4.077081e+36, 3.703061e-03
3.964104e+16, 4.067302e+36, 3.700736e-03
3.955666e+16, 4.057535e+36, 3.698411e-03
3.947239e+16, 4.047782e+36, 3.696086e-03
3.938828e+16, 4.038048e+36, 3.693761e-03
3.930426e+16, 4.028327e+36, 3.691436e-03
3.922035e+16, 4.018620e+36, 3.689111e-03
3.913659e+16, 4.008933e+36, 3.686786e-03
3.905291e+16, 3.999257e+36, 3.684461e-03
3.896936e+16, 3.989596e+36, 3.682136e-03
3.888594e+16, 3.979954e+36, 3.679811e-03
3.880262e+16, 3.970324e+36, 3.677486e-03
3.871942e+16, 3.960710e+36, 3.675161e-03
3.863635e+16, 3.951114e+36, 3.672836e-03
3.855337e+16, 3.941528e+36, 3.670511e-03
3.847053e+16, 3.931961e+36, 3.668187e-03
3.838782e+16, 3.922410e+36, 3.665862e-03
3.830518e+16, 3.912870e+36, 3.663537e-03
3.822270e+16, 3.903349e+36, 3.661212e-03
3.814033e+16, 3.893843e+36, 3.658887e-03
3.805804e+16, 3.884348e+36, 3.656562e-03
3.797591e+16, 3.874874e+36, 3.654237e-03
3.789388e+16, 3.865413e+36, 3.651912e-03
3.781194e+16, 3.855962e+36, 3.649587e-03
3.773017e+16, 3.846535e+36, 3.647262e-03
3.764849e+16, 3.837118e+36, 3.644937e-03
3.756690e+16, 3.827714e+36, 3.642612e-03
3.748548e+16, 3.818331e+36, 3.640287e-03
3.740414e+16, 3.808959e+36, 3.637962e-03
3.732290e+16, 3.799602e+36, 3.635637e-03
