# mass density [erg/cm3], pressure  [erg/cm3], baryon density [1/cm3], chemical potential [erg]
3.92598569184e+16, 2.71979675797e+37, 4.5e+39, 0.0138854983737
3.91055112589e+16, 2.70819550318e+37, 4.49e+39, 0.01385968913
3.89514527717e+16, 2.6966184234e+37, 4.48e+39, 0.0138338762424
3.87976814976e+16, 2.68506551989e+37, 4.47e+39, 0.0138080596975
3.86441974772e+16, 2.67353679389e+37, 4.46e+39, 0.0137822394818
3.84910007514e+16, 2.66203224667e+37, 4.45e+39, 0.0137564155817
3.83380913615e+16, 2.6505518795e+37, 4.44e+39, 0.0137305879833
3.81854693484e+16, 2.63909569363e+37, 4.43e+39, 0.0137047566729
3.80331347537e+16, 2.62766369036e+37, 4.42e+39, 0.0136789216365
3.78810876189e+16, 2.61625587096e+37, 4.41e+39, 0.0136530828603
3.77293279857e+16, 2.60487223671e+37, 4.4e+39, 0.0136272403301
3.75778558959e+16, 2.5935127889e+37, 4.39e+39, 0.0136013940318
3.74266713914e+16, 2.58217752883e+37, 4.38e+39, 0.013575543951
3.72757745146e+16, 2.5708664578e+37, 4.37e+39, 0.0135496900737
3.71251653077e+16, 2.5595795771e+37, 4.36e+39, 0.0135238323852
3.69748438131e+16, 2.54831688806e+37, 4.35e+39, 0.0134979708712
3.68248100736e+16, 2.53707839198e+37, 4.34e+39, 0.013472105517
3.66750641319e+16, 2.52586409018e+37, 4.33e+39, 0.013446236308
3.6525606031e+16, 2.514673984e+37, 4.32e+39, 0.0134203632294
3.6376435814e+16, 2.50350807475e+37, 4.31e+39, 0.0133944862663
3.62275535242e+16, 2.49236636377e+37, 4.3e+39, 0.0133686054038
3.60789592052e+16, 2.48124885241e+37, 4.29e+39, 0.0133427206269
3.59306529005e+16, 2.470155542e+37, 4.28e+39, 0.0133168319204
3.5782634654e+16, 2.4590864339e+37, 4.27e+39, 0.0132909392691
3.56349045096e+16, 2.44804152947e+37, 4.26e+39, 0.0132650426577
3.54874625114e+16, 2.43702083006e+37, 4.25e+39, 0.0132391420708
3.53403087038e+16, 2.42602433704e+37, 4.24e+39, 0.0132132374928
3.51934431313e+16, 2.41505205179e+37, 4.23e+39, 0.0131873289082
3.50468658385e+16, 2.40410397568e+37, 4.22e+39, 0.0131614163012
3.49005768704e+16, 2.39318011009e+37, 4.21e+39, 0.0131354996561
3.47545762717e+16, 2.38228045641e+37, 4.2e+39, 0.0131095789569
3.4608864088e+16, 2.37140501604e+37, 4.19e+39, 0.0130836541876
3.44634403643e+16, 2.36055379038e+37, 4.18e+39, 0.0130577253322
3.43183051464e+16, 2.34972678082e+37, 4.17e+39, 0.0130317923744
3.41734584799e+16, 2.33892398879e+37, 4.16e+39, 0.0130058552978
3.40289004108e+16, 2.32814541569e+37, 4.15e+39, 0.0129799140862
3.38846309852e+16, 2.31739106295e+37, 4.14e+39, 0.0129539687229
3.37406502493e+16, 2.306660932e+37, 4.13e+39, 0.0129280191913
3.35969582496e+16, 2.29595502426e+37, 4.12e+39, 0.0129020654748
3.34535550328e+16, 2.28527334119e+37, 4.11e+39, 0.0128761075564
3.33104406457e+16, 2.27461588422e+37, 4.1e+39, 0.0128501454192
3.31676151354e+16, 2.26398265481e+37, 4.09e+39, 0.0128241790462
3.3025078549e+16, 2.25337365441e+37, 4.08e+39, 0.0127982084201
3.2882830934e+16, 2.24278888448e+37, 4.07e+39, 0.0127722335237
3.2740872338e+16, 2.2322283465e+37, 4.06e+39, 0.0127462543396
3.25992028088e+16, 2.22169204194e+37, 4.05e+39, 0.0127202708503
3.24578223944e+16, 2.21117997228e+37, 4.04e+39, 0.0126942830381
3.2316731143e+16, 2.20069213901e+37, 4.03e+39, 0.0126682908854
