################################################################################
# config_name = sly_4_MFTQCD.properties.conf
# quarks_eos_file_name = ../eos.mft.qcd.NUC/MFT.QCD.B_80_XI_0.0030.FULL.NUC.csv
# hadrons_eos_file_name = ../eos.sly4/sly4.dat.NUC.csv
#
# Range Quarks - P(mu) = EoSRange(inf_limit=662.4959302219999, sup_limit=3160.2875738644443)
# Range Hadrons - P(mu)  = EoSRange(inf_limit=924.0063717038253, sup_limit=3566.1298585739605)
#
# Range = EoSRange(inf_limit=924.0063717038253, sup_limit=3160.2875738644443)
#
# Transition pressure (hadrons) = [ 41.57328798] = [6.6607778e+34 erg/cm3]
# Transition pressure (quarks) = [ 41.57328798] = [6.6607778e+34 erg/cm3]
#
################################################################################
# rho, pressure, chem_potential
5.314225e+16, 7.380157e+36, 5.063341e-03
5.304135e+16, 7.364036e+36, 5.059755e-03
5.294049e+16, 7.347924e+36, 5.056168e-03
5.283977e+16, 7.331839e+36, 5.052581e-03
5.273914e+16, 7.315773e+36, 5.048995e-03
5.263860e+16, 7.299723e+36, 5.045408e-03
5.253821e+16, 7.283702e+36, 5.041822e-03
5.243786e+16, 7.267691e+36, 5.038235e-03
5.233769e+16, 7.251713e+36, 5.034649e-03
5.223758e+16, 7.235748e+36, 5.031062e-03
5.213759e+16, 7.219806e+36, 5.027476e-03
5.203771e+16, 7.203885e+36, 5.023889e-03
5.193790e+16, 7.187979e+36, 5.020303e-03
5.183825e+16, 7.172104e+36, 5.016716e-03
5.173865e+16, 7.156239e+36, 5.013130e-03
5.163921e+16, 7.140404e+36, 5.009543e-03
5.153984e+16, 7.124584e+36, 5.005957e-03
5.144058e+16, 7.108785e+36, 5.002370e-03
5.134144e+16, 7.093010e+36, 4.998784e-03
5.124237e+16, 7.077248e+36, 4.995197e-03
5.114346e+16, 7.061518e+36, 4.991611e-03
5.104460e+16, 7.045797e+36, 4.988024e-03
5.094589e+16, 7.030106e+36, 4.984438e-03
5.084726e+16, 7.014431e+36, 4.980851e-03
5.074874e+16, 6.998776e+36, 4.977265e-03
5.065034e+16, 6.983145e+36, 4.973678e-03
5.055201e+16, 6.967526e+36, 4.970092e-03
5.045384e+16, 6.951940e+36, 4.966505e-03
5.035572e+16, 6.936364e+36, 4.962919e-03
5.025775e+16, 6.920817e+36, 4.959332e-03
5.015986e+16, 6.905285e+36, 4.955746e-03
5.006208e+16, 6.889774e+36, 4.952159e-03
4.996442e+16, 6.874287e+36, 4.948573e-03
4.986681e+16, 6.858811e+36, 4.944986e-03
4.976939e+16, 6.843370e+36, 4.941400e-03
4.967201e+16, 6.827937e+36, 4.937813e-03
4.957478e+16, 6.812533e+36, 4.934227e-03
4.947762e+16, 6.797145e+36, 4.930640e-03
4.938057e+16, 6.781777e+36, 4.927054e-03
4.928365e+16, 6.766434e+36, 4.923467e-03
4.918679e+16, 6.751102e+36, 4.919881e-03
4.909010e+16, 6.735803e+36, 4.916294e-03
4.899346e+16, 6.720514e+36, 4.912708e-03
4.889696e+16, 6.705253e+36, 4.909121e-03
4.880055e+16, 6.690009e+36, 4.905535e-03
4.870423e+16, 6.674784e+36, 4.901948e-03
4.860805e+16, 6.659584e+36, 4.898362e-03
4.851193e+16, 6.644395e+36, 4.894775e-03
4.841597e+16, 6.629239e+36, 4.891189e-03
