################################################################################
# config_name = sly_4_MFTQCD.properties.conf
# quarks_eos_file_name = ../eos.mft.qcd.NUC/MFT.QCD.B_90_XI_0.0015.FULL.NUC.csv
# hadrons_eos_file_name = ../eos.sly4/sly4.dat.NUC.csv
#
# Range Quarks - P(mu) = EoSRange(inf_limit=645.015437419, sup_limit=2373.6653975977774)
# Range Hadrons - P(mu)  = EoSRange(inf_limit=924.0063717038253, sup_limit=3566.1298585739605)
#
# Range = EoSRange(inf_limit=924.0063717038253, sup_limit=2373.6653975977774)
#
# Transition pressure (hadrons) = [ 11.99206566] = [1.9213415e34 erg/cm3]
# Transition pressure (quarks) = [ 11.99206566] = [1.9213415e34 erg/cm3]
#
################################################################################
# rho, pressure, chem_potential
4.341523e+16, 4.528442e+36, 3.803033e-03
4.332566e+16, 4.517991e+36, 3.800708e-03
4.323618e+16, 4.507553e+36, 3.798383e-03
4.314680e+16, 4.497127e+36, 3.796058e-03
4.305758e+16, 4.486723e+36, 3.793733e-03
4.296846e+16, 4.476333e+36, 3.791408e-03
4.287944e+16, 4.465956e+36, 3.789083e-03
4.279058e+16, 4.455598e+36, 3.786758e-03
4.270183e+16, 4.445256e+36, 3.784433e-03
4.261317e+16, 4.434926e+36, 3.782108e-03
4.252465e+16, 4.424615e+36, 3.779783e-03
4.243627e+16, 4.414321e+36, 3.777459e-03
4.234797e+16, 4.404038e+36, 3.775134e-03
4.225981e+16, 4.393774e+36, 3.772809e-03
4.217178e+16, 4.383527e+36, 3.770484e-03
4.208385e+16, 4.373292e+36, 3.768159e-03
4.199604e+16, 4.363074e+36, 3.765834e-03
4.190837e+16, 4.352875e+36, 3.763509e-03
4.182080e+16, 4.342688e+36, 3.761184e-03
4.173334e+16, 4.332516e+36, 3.758859e-03
4.164604e+16, 4.322364e+36, 3.756534e-03
4.155882e+16, 4.312224e+36, 3.754209e-03
4.147172e+16, 4.302099e+36, 3.751884e-03
4.138477e+16, 4.291994e+36, 3.749559e-03
4.129791e+16, 4.281902e+36, 3.747234e-03
4.121116e+16, 4.271823e+36, 3.744909e-03
4.112457e+16, 4.261765e+36, 3.742584e-03
4.103807e+16, 4.251719e+36, 3.740260e-03
4.095168e+16, 4.241687e+36, 3.737935e-03
4.086544e+16, 4.231676e+36, 3.735610e-03
4.077930e+16, 4.221677e+36, 3.733285e-03
4.069326e+16, 4.211691e+36, 3.730960e-03
4.060738e+16, 4.201727e+36, 3.728635e-03
4.052159e+16, 4.191774e+36, 3.726310e-03
4.043591e+16, 4.181835e+36, 3.723985e-03
4.035039e+16, 4.171917e+36, 3.721660e-03
4.026495e+16, 4.162011e+36, 3.719335e-03
4.017962e+16, 4.152119e+36, 3.717010e-03
4.009445e+16, 4.142248e+36, 3.714685e-03
4.000937e+16, 4.132388e+36, 3.712360e-03
3.992440e+16, 4.122542e+36, 3.710035e-03
3.983958e+16, 4.112717e+36, 3.707710e-03
3.975485e+16, 4.102903e+36, 3.705386e-03
3.967023e+16, 4.093103e+36, 3.703061e-03
3.958577e+16, 4.083324e+36, 3.700736e-03
3.950139e+16, 4.073557e+36, 3.698411e-03
3.941712e+16, 4.063803e+36, 3.696086e-03
3.933301e+16, 4.054070e+36, 3.693761e-03
3.924899e+16, 4.044348e+36, 3.691436e-03
3.916508e+16, 4.034642e+36, 3.689111e-03
3.908132e+16, 4.024955e+36, 3.686786e-03
3.899764e+16, 4.015278e+36, 3.684461e-03
3.891409e+16, 4.005618e+36, 3.682136e-03
3.883067e+16, 3.995976e+36, 3.679811e-03
3.874734e+16, 3.986345e+36, 3.677486e-03
3.866415e+16, 3.976732e+36, 3.675161e-03
3.858108e+16, 3.967136e+36, 3.672836e-03
3.849810e+16, 3.957550e+36, 3.670511e-03
3.841526e+16, 3.947983e+36, 3.668187e-03
3.833254e+16, 3.938432e+36, 3.665862e-03
3.824991e+16, 3.928892e+36, 3.663537e-03
3.816743e+16, 3.919371e+36, 3.661212e-03
3.808505e+16, 3.909865e+36, 3.658887e-03
3.800277e+16, 3.900370e+36, 3.656562e-03
3.792064e+16, 3.890896e+36, 3.654237e-03
3.783861e+16, 3.881434e+36, 3.651912e-03
3.775667e+16, 3.871984e+36, 3.649587e-03
3.767490e+16, 3.862556e+36, 3.647262e-03
3.759322e+16, 3.853140e+36, 3.644937e-03
3.751163e+16, 3.843736e+36, 3.642612e-03
3.743021e+16, 3.834353e+36, 3.640287e-03
3.734887e+16, 3.824981e+36, 3.637962e-03
3.726763e+16, 3.815623e+36, 3.635637e-03
3.718655e+16, 3.806285e+36, 3.633313e-03
3.710556e+16, 3.796958e+36, 3.630988e-03
3.702468e+16, 3.787646e+36, 3.628663e-03
3.694394e+16, 3.778353e+36, 3.626338e-03
3.686329e+16, 3.769069e+36, 3.624013e-03
3.678277e+16, 3.759804e+36, 3.621688e-03
3.670237e+16, 3.750555e+36, 3.619363e-03
3.662206e+16, 3.741315e+36, 3.617038e-03
3.654190e+16, 3.732097e+36, 3.614713e-03
3.646184e+16, 3.722891e+36, 3.612388e-03
3.638186e+16, 3.713696e+36, 3.610063e-03
3.630206e+16, 3.704524e+36, 3.607738e-03
3.622234e+16, 3.695362e+36, 3.605413e-03
3.614272e+16, 3.686214e+36, 3.603088e-03
3.606326e+16, 3.677085e+36, 3.600763e-03
3.598387e+16, 3.667967e+36, 3.598438e-03
3.590462e+16, 3.658864e+36, 3.596114e-03
3.582549e+16, 3.649779e+36, 3.593789e-03
3.574644e+16, 3.640704e+36, 3.591464e-03
3.566754e+16, 3.631649e+36, 3.589139e-03
3.558875e+16, 3.622607e+36, 3.586814e-03
3.551003e+16, 3.613575e+36, 3.584489e-03
3.543149e+16, 3.604566e+36, 3.582164e-03
3.535304e+16, 3.595568e+36, 3.579839e-03
3.527468e+16, 3.586582e+36, 3.577514e-03
3.519648e+16, 3.577616e+36, 3.575189e-03
3.511835e+16, 3.568661e+36, 3.572864e-03
3.504035e+16, 3.559721e+36, 3.570539e-03
3.496248e+16, 3.550798e+36, 3.568214e-03
3.488469e+16, 3.541886e+36, 3.565889e-03
3.480705e+16, 3.532993e+36, 3.563564e-03
3.472951e+16, 3.524113e+36, 3.561240e-03
3.465206e+16, 3.515243e+36, 3.558915e-03
3.457477e+16, 3.506396e+36, 3.556590e-03
3.449757e+16, 3.497558e+36, 3.554265e-03
3.442047e+16, 3.488735e+36, 3.551940e-03
3.434351e+16, 3.479931e+36, 3.549615e-03
3.426663e+16, 3.471135e+36, 3.547290e-03
3.418990e+16, 3.462359e+36, 3.544965e-03
3.411327e+16, 3.453596e+36, 3.542640e-03
3.403672e+16, 3.444843e+36, 3.540315e-03
3.396035e+16, 3.436113e+36, 3.537990e-03
3.388405e+16, 3.427392e+36, 3.535665e-03
3.380785e+16, 3.418685e+36, 3.533340e-03
3.373181e+16, 3.409997e+36, 3.531015e-03
3.365584e+16, 3.401318e+36, 3.528690e-03
3.358000e+16, 3.392658e+36, 3.526365e-03
3.350428e+16, 3.384012e+36, 3.524041e-03
3.342863e+16, 3.375374e+36, 3.521716e-03
3.335316e+16, 3.366760e+36, 3.519391e-03
3.327777e+16, 3.358156e+36, 3.517066e-03
3.320248e+16, 3.349565e+36, 3.514741e-03
3.312733e+16, 3.340992e+36, 3.512416e-03
3.305226e+16, 3.332429e+36, 3.510091e-03
3.297733e+16, 3.323885e+36, 3.507766e-03
3.290251e+16, 3.315353e+36, 3.505441e-03
3.282777e+16, 3.306832e+36, 3.503116e-03
3.275319e+16, 3.298333e+36, 3.500791e-03
3.267869e+16, 3.289842e+36, 3.498466e-03
3.260431e+16, 3.281368e+36, 3.496141e-03
3.253005e+16, 3.272910e+36, 3.493816e-03
3.245587e+16, 3.264460e+36, 3.491491e-03
3.238185e+16, 3.256032e+36, 3.489166e-03
3.230792e+16, 3.247614e+36, 3.486842e-03
3.223408e+16, 3.239210e+36, 3.484517e-03
3.216040e+16, 3.230824e+36, 3.482192e-03
3.208678e+16, 3.222447e+36, 3.479867e-03
3.201331e+16, 3.214088e+36, 3.477542e-03
3.193994e+16, 3.205743e+36, 3.475217e-03
3.186665e+16, 3.197408e+36, 3.472892e-03
3.179353e+16, 3.189094e+36, 3.470567e-03
3.172047e+16, 3.180789e+36, 3.468242e-03
3.164755e+16, 3.172501e+36, 3.465917e-03
3.157474e+16, 3.164227e+36, 3.463592e-03
3.150200e+16, 3.155962e+36, 3.461267e-03
3.142944e+16, 3.147719e+36, 3.458942e-03
3.135695e+16, 3.139485e+36, 3.456617e-03
3.128457e+16, 3.131267e+36, 3.454292e-03
3.121232e+16, 3.123064e+36, 3.451968e-03
3.114014e+16, 3.114870e+36, 3.449643e-03
3.106813e+16, 3.106698e+36, 3.447318e-03
3.099619e+16, 3.098535e+36, 3.444993e-03
3.092436e+16, 3.090386e+36, 3.442668e-03
3.085267e+16, 3.082254e+36, 3.440343e-03
3.078104e+16, 3.074131e+36, 3.438018e-03
3.070958e+16, 3.066028e+36, 3.435693e-03
3.063819e+16, 3.057936e+36, 3.433368e-03
3.056691e+16, 3.049857e+36, 3.431043e-03
3.049578e+16, 3.041795e+36, 3.428718e-03
3.042470e+16, 3.033742e+36, 3.426393e-03
