################################################################################
# config_name = sly_4_MFTQCD.properties.conf
# quarks_eos_file_name = ../eos.mft.qcd.NUC/MFT.QCD.B_90_XI_0.0030.FULL.NUC.csv
# hadrons_eos_file_name = ../eos.sly4/sly4.dat.NUC.csv
#
# Range Quarks - P(mu) = EoSRange(inf_limit=662.4959302219999, sup_limit=3160.2875738622224)
# Range Hadrons - P(mu)  = EoSRange(inf_limit=924.0063717038253, sup_limit=3566.1298585739605)
#
# Range = EoSRange(inf_limit=924.0063717038253, sup_limit=3160.2875738622224)
#
# Transition pressure (hadrons) = [ 68.35566577]
# Transition pressure (quarks) = [ 58.72019088]
#
################################################################################
# rho, pressure, chem_potential
5.319753e+16, 7.364135e+36, 5.063341e-03
5.309662e+16, 7.348014e+36, 5.059755e-03
5.299576e+16, 7.331902e+36, 5.056168e-03
5.289504e+16, 7.315817e+36, 5.052581e-03
5.279441e+16, 7.299751e+36, 5.048995e-03
5.269387e+16, 7.283701e+36, 5.045408e-03
5.259348e+16, 7.267680e+36, 5.041822e-03
5.249313e+16, 7.251669e+36, 5.038235e-03
5.239296e+16, 7.235691e+36, 5.034649e-03
5.229285e+16, 7.219726e+36, 5.031062e-03
5.219286e+16, 7.203784e+36, 5.027476e-03
5.209298e+16, 7.187864e+36, 5.023889e-03
5.199317e+16, 7.171957e+36, 5.020303e-03
5.189352e+16, 7.156082e+36, 5.016716e-03
5.179392e+16, 7.140217e+36, 5.013130e-03
5.169448e+16, 7.124382e+36, 5.009543e-03
5.159511e+16, 7.108562e+36, 5.005957e-03
5.149585e+16, 7.092763e+36, 5.002370e-03
5.139671e+16, 7.076988e+36, 4.998784e-03
5.129764e+16, 7.061226e+36, 4.995197e-03
5.119873e+16, 7.045496e+36, 4.991611e-03
5.109987e+16, 7.029775e+36, 4.988024e-03
5.100116e+16, 7.014084e+36, 4.984438e-03
5.090253e+16, 6.998409e+36, 4.980851e-03
5.080401e+16, 6.982754e+36, 4.977265e-03
5.070562e+16, 6.967123e+36, 4.973678e-03
5.060728e+16, 6.951504e+36, 4.970092e-03
5.050911e+16, 6.935918e+36, 4.966505e-03
5.041099e+16, 6.920342e+36, 4.962919e-03
5.031302e+16, 6.904795e+36, 4.959332e-03
5.021513e+16, 6.889264e+36, 4.955746e-03
5.011735e+16, 6.873752e+36, 4.952159e-03
5.001969e+16, 6.858265e+36, 4.948573e-03
4.992209e+16, 6.842789e+36, 4.944986e-03
4.982466e+16, 6.827348e+36, 4.941400e-03
4.972728e+16, 6.811916e+36, 4.937813e-03
4.963005e+16, 6.796512e+36, 4.934227e-03
4.953290e+16, 6.781124e+36, 4.930640e-03
4.943584e+16, 6.765755e+36, 4.927054e-03
4.933892e+16, 6.750412e+36, 4.923467e-03
4.924206e+16, 6.735080e+36, 4.919881e-03
4.914537e+16, 6.719781e+36, 4.916294e-03
4.904873e+16, 6.704492e+36, 4.912708e-03
4.895223e+16, 6.689232e+36, 4.909121e-03
4.885582e+16, 6.673987e+36, 4.905535e-03
4.875950e+16, 6.658762e+36, 4.901948e-03
4.866332e+16, 6.643562e+36, 4.898362e-03
4.856720e+16, 6.628373e+36, 4.894775e-03
4.847124e+16, 6.613217e+36, 4.891189e-03
4.837533e+16, 6.598070e+36, 4.887602e-03
4.827957e+16, 6.582953e+36, 4.884016e-03
4.818389e+16, 6.567850e+36, 4.880429e-03
4.808832e+16, 6.552769e+36, 4.876843e-03
4.799287e+16, 6.537711e+36, 4.873256e-03
4.789749e+16, 6.522665e+36, 4.869670e-03
4.780227e+16, 6.507652e+36, 4.866083e-03
4.770709e+16, 6.492646e+36, 4.862497e-03
4.761207e+16, 6.477673e+36, 4.858910e-03
4.751712e+16, 6.462712e+36, 4.855324e-03
4.742229e+16, 6.447774e+36, 4.851737e-03
4.732757e+16, 6.432857e+36, 4.848151e-03
4.723293e+16, 6.417955e+36, 4.844564e-03
4.713844e+16, 6.403083e+36, 4.840978e-03
4.704399e+16, 6.388219e+36, 4.837391e-03
4.694972e+16, 6.373389e+36, 4.833805e-03
4.685550e+16, 6.358569e+36, 4.830218e-03
4.676141e+16, 6.343774e+36, 4.826632e-03
4.666742e+16, 6.328998e+36, 4.823045e-03
4.657352e+16, 6.314240e+36, 4.819459e-03
4.647976e+16, 6.299508e+36, 4.815872e-03
4.638605e+16, 6.284785e+36, 4.812286e-03
4.629251e+16, 6.270098e+36, 4.808699e-03
4.619902e+16, 6.255418e+36, 4.805113e-03
4.610568e+16, 6.240767e+36, 4.801526e-03
4.601242e+16, 6.226131e+36, 4.797940e-03
4.591926e+16, 6.211517e+36, 4.794353e-03
4.582623e+16, 6.196925e+36, 4.790767e-03
4.573326e+16, 6.182345e+36, 4.787180e-03
4.564045e+16, 6.167797e+36, 4.783594e-03
4.554768e+16, 6.153257e+36, 4.780007e-03
4.545508e+16, 6.138750e+36, 4.776421e-03
4.536255e+16, 6.124254e+36, 4.772834e-03
4.527014e+16, 6.109782e+36, 4.769248e-03
4.517782e+16, 6.095329e+36, 4.765661e-03
4.508560e+16, 6.080894e+36, 4.762075e-03
4.499352e+16, 6.066485e+36, 4.758488e-03
4.490148e+16, 6.052085e+36, 4.754902e-03
4.480963e+16, 6.037720e+36, 4.751315e-03
4.471781e+16, 6.023362e+36, 4.747729e-03
4.462615e+16, 6.009034e+36, 4.744142e-03
4.453456e+16, 5.994720e+36, 4.740556e-03
4.444308e+16, 5.980428e+36, 4.736969e-03
4.435172e+16, 5.966158e+36, 4.733383e-03
4.426043e+16, 5.951901e+36, 4.729796e-03
4.416930e+16, 5.937674e+36, 4.726209e-03
4.407820e+16, 5.923455e+36, 4.722623e-03
4.398729e+16, 5.909270e+36, 4.719036e-03
4.389642e+16, 5.895094e+36, 4.715450e-03
4.380569e+16, 5.880945e+36, 4.711863e-03
4.371505e+16, 5.866812e+36, 4.708277e-03
4.362451e+16, 5.852699e+36, 4.704690e-03
4.353409e+16, 5.838610e+36, 4.701104e-03
4.344374e+16, 5.824533e+36, 4.697517e-03
4.335355e+16, 5.810487e+36, 4.693931e-03
4.326340e+16, 5.796448e+36, 4.690344e-03
4.317342e+16, 5.782442e+36, 4.686758e-03
4.308350e+16, 5.768447e+36, 4.683171e-03
4.299371e+16, 5.754477e+36, 4.679585e-03
4.290401e+16, 5.740524e+36, 4.675998e-03
4.281441e+16, 5.726591e+36, 4.672412e-03
4.272493e+16, 5.712681e+36, 4.668825e-03
4.263552e+16, 5.698784e+36, 4.665239e-03
4.254627e+16, 5.684917e+36, 4.661652e-03
4.245706e+16, 5.671057e+36, 4.658066e-03
4.236802e+16, 5.657231e+36, 4.654479e-03
4.227904e+16, 5.643415e+36, 4.650893e-03
4.219019e+16, 5.629624e+36, 4.647306e-03
4.210143e+16, 5.615851e+36, 4.643720e-03
4.201277e+16, 5.602096e+36, 4.640133e-03
4.192423e+16, 5.588365e+36, 4.636547e-03
4.183576e+16, 5.574647e+36, 4.632960e-03
4.174745e+16, 5.560959e+36, 4.629374e-03
4.165917e+16, 5.547277e+36, 4.625787e-03
4.157108e+16, 5.533631e+36, 4.622201e-03
4.148303e+16, 5.519992e+36, 4.618614e-03
4.139513e+16, 5.506381e+36, 4.615028e-03
4.130730e+16, 5.492785e+36, 4.611441e-03
4.121958e+16, 5.479210e+36, 4.607855e-03
4.113198e+16, 5.465657e+36, 4.604268e-03
4.104445e+16, 5.452118e+36, 4.600682e-03
4.095708e+16, 5.438607e+36, 4.597095e-03
4.086974e+16, 5.425104e+36, 4.593509e-03
4.078259e+16, 5.411635e+36, 4.589922e-03
4.069547e+16, 5.398173e+36, 4.586336e-03
4.060851e+16, 5.384742e+36, 4.582749e-03
4.052161e+16, 5.371322e+36, 4.579163e-03
4.043484e+16, 5.357927e+36, 4.575576e-03
4.034817e+16, 5.344549e+36, 4.571990e-03
4.026159e+16, 5.331190e+36, 4.568403e-03
4.017514e+16, 5.317855e+36, 4.564817e-03
4.008875e+16, 5.304531e+36, 4.561230e-03
4.000253e+16, 5.291238e+36, 4.557644e-03
3.991633e+16, 5.277952e+36, 4.554057e-03
3.983032e+16, 5.264700e+36, 4.550471e-03
3.974435e+16, 5.251455e+36, 4.546884e-03
3.965853e+16, 5.238239e+36, 4.543298e-03
3.957279e+16, 5.225037e+36, 4.539711e-03
3.948716e+16, 5.211856e+36, 4.536125e-03
3.940163e+16, 5.198696e+36, 4.532538e-03
3.931619e+16, 5.185552e+36, 4.528952e-03
3.923089e+16, 5.172434e+36, 4.525365e-03
3.914564e+16, 5.159325e+36, 4.521779e-03
3.906056e+16, 5.146249e+36, 4.518192e-03
3.897551e+16, 5.133178e+36, 4.514606e-03
3.889064e+16, 5.120141e+36, 4.511019e-03
3.880582e+16, 5.107113e+36, 4.507433e-03
3.872114e+16, 5.094112e+36, 4.503846e-03
3.863654e+16, 5.081125e+36, 4.500260e-03
3.855205e+16, 5.068160e+36, 4.496673e-03
3.846767e+16, 5.055215e+36, 4.493087e-03
3.838337e+16, 5.042286e+36, 4.489500e-03
3.829921e+16, 5.029383e+36, 4.485914e-03
3.821510e+16, 5.016489e+36, 4.482327e-03
3.813117e+16, 5.003627e+36, 4.478741e-03
3.804726e+16, 4.990771e+36, 4.475154e-03
3.796353e+16, 4.977950e+36, 4.471568e-03
3.787985e+16, 4.965135e+36, 4.467981e-03
3.779631e+16, 4.952349e+36, 4.464395e-03
3.771285e+16, 4.939576e+36, 4.460808e-03
3.762950e+16, 4.926826e+36, 4.457222e-03
3.754626e+16, 4.914095e+36, 4.453635e-03
3.746311e+16, 4.901381e+36, 4.450049e-03
3.738008e+16, 4.888690e+36, 4.446462e-03
3.729712e+16, 4.876012e+36, 4.442876e-03
3.721432e+16, 4.863363e+36, 4.439289e-03
3.713155e+16, 4.850721e+36, 4.435703e-03
3.704897e+16, 4.838113e+36, 4.432116e-03
3.696642e+16, 4.825511e+36, 4.428530e-03
3.688403e+16, 4.812940e+36, 4.424943e-03
3.680170e+16, 4.800379e+36, 4.421357e-03
3.671950e+16, 4.787844e+36, 4.417770e-03
3.663739e+16, 4.775324e+36, 4.414184e-03
3.655538e+16, 4.762825e+36, 4.410597e-03
3.647349e+16, 4.750346e+36, 4.407011e-03
3.639168e+16, 4.737883e+36, 4.403424e-03
3.631001e+16, 4.725444e+36, 4.399837e-03
3.622839e+16, 4.713017e+36, 4.396251e-03
3.614693e+16, 4.700620e+36, 4.392664e-03
3.606551e+16, 4.688229e+36, 4.389078e-03
3.598427e+16, 4.675872e+36, 4.385491e-03
3.590306e+16, 4.663521e+36, 4.381905e-03
3.582202e+16, 4.651201e+36, 4.378318e-03
3.574103e+16, 4.638890e+36, 4.374732e-03
3.566018e+16, 4.626607e+36, 4.371145e-03
3.557940e+16, 4.614337e+36, 4.367559e-03
3.549875e+16, 4.602089e+36, 4.363972e-03
3.541819e+16, 4.589860e+36, 4.360386e-03
3.533773e+16, 4.577648e+36, 4.356799e-03
3.525740e+16, 4.565459e+36, 4.353213e-03
3.517713e+16, 4.553282e+36, 4.349626e-03
3.509701e+16, 4.541134e+36, 4.346040e-03
3.501693e+16, 4.528994e+36, 4.342453e-03
3.493703e+16, 4.516886e+36, 4.338867e-03
3.485715e+16, 4.504783e+36, 4.335280e-03
3.477746e+16, 4.492714e+36, 4.331694e-03
3.469780e+16, 4.480651e+36, 4.328107e-03
3.461831e+16, 4.468618e+36, 4.324521e-03
3.453887e+16, 4.456595e+36, 4.320934e-03
3.445956e+16, 4.444599e+36, 4.317348e-03
3.438034e+16, 4.432616e+36, 4.313761e-03
3.430123e+16, 4.420655e+36, 4.310175e-03
3.422222e+16, 4.408713e+36, 4.306588e-03
3.414331e+16, 4.396788e+36, 4.303002e-03
3.406452e+16, 4.384885e+36, 4.299415e-03
3.398579e+16, 4.372996e+36, 4.295829e-03
3.390722e+16, 4.361134e+36, 4.292242e-03
3.382869e+16, 4.349281e+36, 4.288656e-03
3.375033e+16, 4.337458e+36, 4.285069e-03
3.367200e+16, 4.325641e+36, 4.281483e-03
3.359386e+16, 4.313859e+36, 4.277896e-03
3.351574e+16, 4.302080e+36, 4.274310e-03
3.343779e+16, 4.290334e+36, 4.270723e-03
3.335988e+16, 4.278596e+36, 4.267137e-03
3.328213e+16, 4.266886e+36, 4.263550e-03
3.320444e+16, 4.255187e+36, 4.259964e-03
3.312689e+16, 4.243513e+36, 4.256377e-03
3.304942e+16, 4.231854e+36, 4.252791e-03
3.297205e+16, 4.220216e+36, 4.249204e-03
3.289480e+16, 4.208596e+36, 4.245618e-03
3.281763e+16, 4.196994e+36, 4.242031e-03
3.274058e+16, 4.185414e+36, 4.238445e-03
3.266361e+16, 4.173847e+36, 4.234858e-03
3.258678e+16, 4.162307e+36, 4.231272e-03
3.251000e+16, 4.150776e+36, 4.227685e-03
3.243339e+16, 4.139275e+36, 4.224099e-03
3.235681e+16, 4.127781e+36, 4.220512e-03
3.228041e+16, 4.116319e+36, 4.216926e-03
3.220402e+16, 4.104861e+36, 4.213339e-03
3.212783e+16, 4.093438e+36, 4.209753e-03
3.205167e+16, 4.082019e+36, 4.206166e-03
3.197567e+16, 4.070632e+36, 4.202580e-03
3.189971e+16, 4.059252e+36, 4.198993e-03
3.182391e+16, 4.047900e+36, 4.195407e-03
3.174817e+16, 4.036560e+36, 4.191820e-03
3.167257e+16, 4.025244e+36, 4.188234e-03
3.159704e+16, 4.013943e+36, 4.184647e-03
3.152163e+16, 4.002663e+36, 4.181061e-03
3.144631e+16, 3.991400e+36, 4.177474e-03
3.137110e+16, 3.980156e+36, 4.173888e-03
3.129600e+16, 3.968933e+36, 4.170301e-03
3.122098e+16, 3.957725e+36, 4.166715e-03
3.114609e+16, 3.946540e+36, 4.163128e-03
3.107127e+16, 3.935368e+36, 4.159542e-03
3.099659e+16, 3.924222e+36, 4.155955e-03
3.092197e+16, 3.913085e+36, 4.152369e-03
3.084750e+16, 3.901978e+36, 4.148782e-03
3.077308e+16, 3.890878e+36, 4.145196e-03
3.069882e+16, 3.879809e+36, 4.141609e-03
3.062459e+16, 3.868744e+36, 4.138023e-03
3.055055e+16, 3.857714e+36, 4.134436e-03
3.047652e+16, 3.846686e+36, 4.130850e-03
3.040268e+16, 3.835694e+36, 4.127263e-03
3.032887e+16, 3.824705e+36, 4.123677e-03
3.025523e+16, 3.813748e+36, 4.120090e-03
3.018162e+16, 3.802797e+36, 4.116504e-03
3.010818e+16, 3.791876e+36, 4.112917e-03
3.003478e+16, 3.780963e+36, 4.109331e-03
2.996154e+16, 3.770078e+36, 4.105744e-03
2.988835e+16, 3.759204e+36, 4.102158e-03
2.981530e+16, 3.748355e+36, 4.098571e-03
2.974232e+16, 3.737519e+36, 4.094985e-03
2.966947e+16, 3.726705e+36, 4.091398e-03
2.959671e+16, 3.715907e+36, 4.087812e-03
2.952406e+16, 3.705130e+36, 4.084225e-03
2.945150e+16, 3.694370e+36, 4.080639e-03
2.937904e+16, 3.683628e+36, 4.077052e-03
2.930670e+16, 3.672906e+36, 4.073465e-03
2.923444e+16, 3.662200e+36, 4.069879e-03
2.916230e+16, 3.651516e+36, 4.066292e-03
2.909024e+16, 3.640846e+36, 4.062706e-03
2.901831e+16, 3.630200e+36, 4.059119e-03
2.894645e+16, 3.619565e+36, 4.055533e-03
2.887473e+16, 3.608957e+36, 4.051946e-03
2.880307e+16, 3.598359e+36, 4.048360e-03
2.873155e+16, 3.587788e+36, 4.044773e-03
2.866009e+16, 3.577225e+36, 4.041187e-03
2.858878e+16, 3.566692e+36, 4.037600e-03
2.851752e+16, 3.556166e+36, 4.034014e-03
2.844642e+16, 3.545670e+36, 4.030427e-03
2.837536e+16, 3.535179e+36, 4.026841e-03
2.830447e+16, 3.524720e+36, 4.023254e-03
2.823360e+16, 3.514266e+36, 4.019668e-03
2.816292e+16, 3.503844e+36, 4.016081e-03
2.809225e+16, 3.493426e+36, 4.012495e-03
2.802177e+16, 3.483042e+36, 4.008908e-03
2.795130e+16, 3.472659e+36, 4.005322e-03
2.788103e+16, 3.462312e+36, 4.001735e-03
2.781077e+16, 3.451967e+36, 3.998149e-03
2.774070e+16, 3.441656e+36, 3.994562e-03
2.767065e+16, 3.431347e+36, 3.990976e-03
2.760077e+16, 3.421072e+36, 3.987389e-03
2.753092e+16, 3.410800e+36, 3.983803e-03
2.746125e+16, 3.400561e+36, 3.980216e-03
2.739161e+16, 3.390326e+36, 3.976630e-03
2.732214e+16, 3.380123e+36, 3.973043e-03
2.725270e+16, 3.369925e+36, 3.969457e-03
2.718342e+16, 3.359757e+36, 3.965870e-03
2.711419e+16, 3.349596e+36, 3.962284e-03
2.704512e+16, 3.339465e+36, 3.958697e-03
2.697609e+16, 3.329340e+36, 3.955111e-03
2.690722e+16, 3.319244e+36, 3.951524e-03
2.683839e+16, 3.309157e+36, 3.947938e-03
2.676972e+16, 3.299097e+36, 3.944351e-03
2.670110e+16, 3.289046e+36, 3.940765e-03
2.663263e+16, 3.279021e+36, 3.937178e-03
2.656421e+16, 3.269006e+36, 3.933592e-03
2.649594e+16, 3.259018e+36, 3.930005e-03
2.642773e+16, 3.249040e+36, 3.926419e-03
2.635966e+16, 3.239087e+36, 3.922832e-03
2.629165e+16, 3.229145e+36, 3.919246e-03
2.622378e+16, 3.219228e+36, 3.915659e-03
2.615597e+16, 3.209323e+36, 3.912073e-03
2.608830e+16, 3.199442e+36, 3.908486e-03
2.602070e+16, 3.189572e+36, 3.904900e-03
2.595323e+16, 3.179727e+36, 3.901313e-03
2.588583e+16, 3.169893e+36, 3.897727e-03
2.581856e+16, 3.160084e+36, 3.894140e-03
2.575136e+16, 3.150286e+36, 3.890554e-03
2.568430e+16, 3.140513e+36, 3.886967e-03
2.561730e+16, 3.130751e+36, 3.883381e-03
2.555043e+16, 3.121014e+36, 3.879794e-03
2.548364e+16, 3.111288e+36, 3.876208e-03
2.541698e+16, 3.101586e+36, 3.872621e-03
2.535038e+16, 3.091896e+36, 3.869035e-03
2.528392e+16, 3.082230e+36, 3.865448e-03
2.521752e+16, 3.072575e+36, 3.861862e-03
2.515127e+16, 3.062946e+36, 3.858275e-03
2.508507e+16, 3.053326e+36, 3.854689e-03
2.501902e+16, 3.043732e+36, 3.851102e-03
2.495302e+16, 3.034148e+36, 3.847516e-03
2.488717e+16, 3.024590e+36, 3.843929e-03
2.482137e+16, 3.015042e+36, 3.840343e-03
2.475572e+16, 3.005520e+36, 3.836756e-03
2.469013e+16, 2.996006e+36, 3.833170e-03
2.462468e+16, 2.986520e+36, 3.829583e-03
2.455928e+16, 2.977042e+36, 3.825997e-03
2.449404e+16, 2.967592e+36, 3.822410e-03
2.442884e+16, 2.958149e+36, 3.818824e-03
2.436380e+16, 2.948734e+36, 3.815237e-03
2.429880e+16, 2.939326e+36, 3.811651e-03
2.423396e+16, 2.929948e+36, 3.808064e-03
2.416915e+16, 2.920574e+36, 3.804478e-03
2.410452e+16, 2.911232e+36, 3.800891e-03
2.403991e+16, 2.901893e+36, 3.797305e-03
2.397548e+16, 2.892586e+36, 3.793718e-03
2.391107e+16, 2.883283e+36, 3.790132e-03
2.384685e+16, 2.874012e+36, 3.786545e-03
2.378264e+16, 2.864743e+36, 3.782959e-03
2.371861e+16, 2.855508e+36, 3.779372e-03
2.365459e+16, 2.846273e+36, 3.775786e-03
2.359078e+16, 2.837074e+36, 3.772199e-03
2.352696e+16, 2.827875e+36, 3.768613e-03
2.346334e+16, 2.818711e+36, 3.765026e-03
2.339973e+16, 2.809547e+36, 3.761440e-03
2.333631e+16, 2.800418e+36, 3.757853e-03
2.327290e+16, 2.791290e+36, 3.754267e-03
2.320967e+16, 2.782195e+36, 3.750680e-03
2.314646e+16, 2.773103e+36, 3.747093e-03
2.308343e+16, 2.764042e+36, 3.743507e-03
2.302043e+16, 2.754986e+36, 3.739920e-03
2.295760e+16, 2.745959e+36, 3.736334e-03
