# mass density [erg/cm3], pressure  [erg/cm3], baryon density [1/cm3], chemical potential [erg]
5.47546858992e+15, 2.04350409052e+36, 4.5e+39, 0.00154774609985
5.45825823145e+15, 2.03560654433e+36, 4.49e+39, 0.00154598913721
5.44106742759e+15, 2.02772112031e+36, 4.48e+39, 0.00154423095997
5.42389619187e+15, 2.01984782264e+36, 4.47e+39, 0.00154247156364
5.40674453791e+15, 2.01198665552e+36, 4.46e+39, 0.0015407109437
5.38961247933e+15, 2.00413762314e+36, 4.45e+39, 0.0015389490956
5.37250002983e+15, 1.99630072972e+36, 4.44e+39, 0.00153718601476
5.35540720312e+15, 1.98847597949e+36, 4.43e+39, 0.00153542169657
5.33833401303e+15, 1.98066337671e+36, 4.42e+39, 0.00153365613642
5.32128047338e+15, 1.97286292563e+36, 4.41e+39, 0.00153188932962
5.30424659809e+15, 1.96507463055e+36, 4.4e+39, 0.0015301212715
5.28723240109e+15, 1.95729849576e+36, 4.39e+39, 0.00152835195735
5.27023789636e+15, 1.94953452557e+36, 4.38e+39, 0.0015265813824
5.25326309802e+15, 1.94178272432e+36, 4.37e+39, 0.00152480954191
5.2363080201e+15, 1.93404309635e+36, 4.36e+39, 0.00152303643104
5.21937267681e+15, 1.92631564603e+36, 4.35e+39, 0.00152126204499
5.20245708237e+15, 1.91860037774e+36, 4.34e+39, 0.00151948637888
5.18556125101e+15, 1.91089729588e+36, 4.33e+39, 0.00151770942783
5.16868519708e+15, 1.90320640486e+36, 4.32e+39, 0.00151593118691
5.15182893495e+15, 1.89552770911e+36, 4.31e+39, 0.00151415165118
5.13499247904e+15, 1.88786121308e+36, 4.3e+39, 0.00151237081564
5.11817584387e+15, 1.88020692124e+36, 4.29e+39, 0.00151058867529
5.10137904397e+15, 1.87256483808e+36, 4.28e+39, 0.00150880522508
5.08460209395e+15, 1.86493496809e+36, 4.27e+39, 0.00150702045995
5.06784500846e+15, 1.85731731581e+36, 4.26e+39, 0.00150523437478
5.05110780221e+15, 1.84971188574e+36, 4.25e+39, 0.00150344696443
5.03439048997e+15, 1.84211868247e+36, 4.24e+39, 0.00150165822373
