#epsilon,  pressure,  nB
#[MeV/fm^3], [MeV/fm^3],  [fm^-3]
7853.816, 21283.537, 0.987
7292.829, 15978.257, 1.8
6731.842, 12046.108, 2.27
6170.855, 9112.599, 2.49
5609.869, 7052.902, 2.53
5048.882, 5517.492, 2.45
4487.895, 4394.021, 2.3
3926.908, 3526.451, 2.11
3365.921, 2796.195, 1.91
2804.934, 2134.595, 1.71
2271.997, 1541.652, 1.5
2025.163, 1279.509, 1.4
1800.768, 1042.332, 1.3
1587.593, 836.362, 1.2
1391.247, 655.358, 1.1
1211.732, 500.569, 1
1127.584, 432.536, 0.95
1049.045, 371.370, 0.9
970.507, 315.196, 0.85
897.579, 265.888, 0.8
824.651, 220.949, 0.75
757.332, 181.628, 0.7
718.063, 159.783, 0.67
678.794, 139.810, 0.64
639.525, 121.709, 0.61
605.866, 104.857, 0.58
566.597, 89.254, 0.549
531.255, 76.146, 0.52
496.473, 63.663, 0.49
462.253, 52.429, 0.46
429.155, 42.567, 0.43
396.618, 34.016, 0.4
364.641, 26.589, 0.371
332.665, 20.410, 0.341
301.811, 15.292, 0.311
271.518, 11.235, 0.28
241.224, 8.301, 0.25
211.492, 6.366, 0.22
181.760, 5.499, 0.189
