#mass density[g/cm^3],  pressure [erg/cm^3],  baryonic_density [1/fm^3]
3.56533E+015, 9.39935E+035, 1
3.54741E+015, 9.34567E+035, 1
3.52949E+015, 9.29200E+035, 1
3.51158E+015, 9.23832E+035, 1
3.49366E+015, 9.18465E+035, 1
3.47574E+015, 9.13098E+035, 1
3.45783E+015, 9.07730E+035, 1
3.43991E+015, 9.02363E+035, 1
3.42200E+015, 8.96996E+035, 1
3.40408E+015, 8.91628E+035, 1
3.38616E+015, 8.86261E+035, 1
3.36825E+015, 8.80893E+035, 1
3.35033E+015, 8.75526E+035, 1
3.33241E+015, 8.70159E+035, 1
3.31450E+015, 8.64791E+035, 1
3.29658E+015, 8.59424E+035, 1
3.27867E+015, 8.54057E+035, 1
3.26075E+015, 8.48689E+035, 1
3.24283E+015, 8.43322E+035, 1
3.22492E+015, 8.37955E+035, 1
3.20700E+015, 8.32587E+035, 1
3.18908E+015, 8.27220E+035, 1
3.17117E+015, 8.21852E+035, 1
3.15325E+015, 8.16485E+035, 1
3.13534E+015, 8.11118E+035, 1
3.11742E+015, 8.05750E+035, 1
3.09950E+015, 8.00383E+035, 1
3.08159E+015, 7.95016E+035, 1
3.06367E+015, 7.89648E+035, 1
3.04576E+015, 7.84281E+035, 1
3.02784E+015, 7.78913E+035, 1
3.00992E+015, 7.73546E+035, 1
2.99201E+015, 7.68179E+035, 1
2.97409E+015, 7.62811E+035, 1
2.95617E+015, 7.57444E+035, 1
2.93826E+015, 7.52077E+035, 1
2.92034E+015, 7.46709E+035, 1
2.90243E+015, 7.41342E+035, 1
2.88451E+015, 7.35974E+035, 1
2.86659E+015, 7.30607E+035, 1
2.84868E+015, 7.25240E+035, 1
2.83076E+015, 7.19872E+035, 1
2.81284E+015, 7.14505E+035, 1
2.79493E+015, 7.09138E+035, 1
2.77701E+015, 7.03770E+035, 1
2.75910E+015, 6.98403E+035, 1
2.74118E+015, 6.93035E+035, 1
2.72326E+015, 6.87668E+035, 1
2.70535E+015, 6.82301E+035, 1
2.68743E+015, 6.76933E+035, 1
2.66951E+015, 6.71566E+035, 1
2.65160E+015, 6.66199E+035, 1
2.63368E+015, 6.60831E+035, 1
2.61577E+015, 6.55464E+035, 1
2.59785E+015, 6.50096E+035, 1
2.57993E+015, 6.44729E+035, 1
2.56202E+015, 6.39362E+035, 1
2.54410E+015, 6.33994E+035, 1
2.52619E+015, 6.28627E+035, 1
2.50827E+015, 6.23260E+035, 1
2.49035E+015, 6.17892E+035, 1
2.47244E+015, 6.12525E+035, 1
2.45452E+015, 6.07157E+035, 1
2.43660E+015, 6.01790E+035, 1
2.41869E+015, 5.96423E+035, 1
2.40077E+015, 5.91055E+035, 1
2.38286E+015, 5.85688E+035, 1
2.36494E+015, 5.80321E+035, 1
2.34702E+015, 5.74953E+035, 1
2.32911E+015, 5.69586E+035, 1
2.31119E+015, 5.64218E+035, 1
2.29327E+015, 5.58851E+035, 1
2.27536E+015, 5.53484E+035, 1
2.25744E+015, 5.48116E+035, 1
2.23953E+015, 5.42749E+035, 1
2.22161E+015, 5.37382E+035, 1
2.20369E+015, 5.32014E+035, 1
2.18578E+015, 5.26647E+035, 1
2.16786E+015, 5.21279E+035, 1
2.14994E+015, 5.15912E+035, 1
2.13203E+015, 5.10545E+035, 1
2.11411E+015, 5.05177E+035, 1
2.09620E+015, 4.99810E+035, 1
2.07828E+015, 4.94443E+035, 1
2.06036E+015, 4.89075E+035, 1
2.04245E+015, 4.83708E+035, 1
2.02453E+015, 4.78340E+035, 1
2.00662E+015, 4.72973E+035, 1
1.98870E+015, 4.67606E+035, 1
1.97078E+015, 4.62238E+035, 1
1.95287E+015, 4.56871E+035, 1
1.93495E+015, 4.51504E+035, 1
1.91703E+015, 4.46136E+035, 1
1.89912E+015, 4.40769E+035, 1
1.88120E+015, 4.35401E+035, 1
1.86329E+015, 4.30034E+035, 1
1.84537E+015, 4.24667E+035, 1
1.82745E+015, 4.19299E+035, 1
1.80954E+015, 4.13932E+035, 1
1.79162E+015, 4.08565E+035, 1
1.77370E+015, 4.03197E+035, 2
1.75579E+015, 3.97830E+035, 3
1.73787E+015, 3.92462E+035, 4
1.71996E+015, 3.87095E+035, 5
1.70204E+015, 3.81728E+035, 6
1.68412E+015, 3.76360E+035, 7
1.66621E+015, 3.70993E+035, 8
1.64829E+015, 3.65626E+035, 9
1.63037E+015, 3.60258E+035, 10
1.61246E+015, 3.54891E+035, 11
1.59454E+015, 3.49523E+035, 12
1.57663E+015, 3.44156E+035, 13
1.55871E+015, 3.38789E+035, 14
1.54079E+015, 3.33421E+035, 15
1.52288E+015, 3.28054E+035, 16
1.50496E+015, 3.22687E+035, 17
1.48705E+015, 3.17319E+035, 18
1.46913E+015, 3.11952E+035, 19
1.45121E+015, 3.06584E+035, 20
1.43330E+015, 3.01217E+035, 21
1.41538E+015, 2.95850E+035, 22
1.39746E+015, 2.90482E+035, 23
1.37955E+015, 2.85115E+035, 24
1.36163E+015, 2.79748E+035, 25
1.34372E+015, 2.74380E+035, 26
1.32580E+015, 2.69013E+035, 27
1.30788E+015, 2.63645E+035, 28
1.28997E+015, 2.58278E+035, 29
1.27205E+015, 2.52911E+035, 30
1.25413E+015, 2.47543E+035, 31
1.23622E+015, 2.42176E+035, 32
1.21830E+015, 2.36809E+035, 33
1.20039E+015, 2.31441E+035, 34
1.18247E+015, 2.26074E+035, 35
1.16455E+015, 2.20706E+035, 36
1.14664E+015, 2.15339E+035, 37
1.12872E+015, 2.09972E+035, 38
1.11080E+015, 2.04604E+035, 39
1.09289E+015, 1.99237E+035, 40
1.07497E+015, 1.93870E+035, 41
1.05706E+015, 1.88502E+035, 42
1.03914E+015, 1.83135E+035, 43
1.02122E+015, 1.77767E+035, 44
1.00331E+015, 1.72400E+035, 45
9.85391E+014, 1.67033E+035, 46
9.67475E+014, 1.61665E+035, 47
9.49559E+014, 1.56298E+035, 48
9.31643E+014, 1.50931E+035, 49
9.13727E+014, 1.45563E+035, 50
8.95810E+014, 1.40196E+035, 51
8.77894E+014, 1.34828E+035, 52
8.59978E+014, 1.29461E+035, 53
8.42062E+014, 1.24094E+035, 54
8.24146E+014, 1.18726E+035, 55
8.06229E+014, 1.13359E+035, 56
7.88313E+014, 1.07992E+035, 57
7.70397E+014, 1.02624E+035, 58
7.52481E+014, 9.72568E+034, 59
7.34565E+014, 9.18895E+034, 60
7.16648E+014, 8.65221E+034, 61
6.98732E+014, 8.11547E+034, 62
6.80816E+014, 7.57873E+034, 63
6.62900E+014, 7.04200E+034, 64
6.44983E+014, 6.50526E+034, 65
6.27067E+014, 5.96852E+034, 66
6.09151E+014, 5.43178E+034, 67
5.91235E+014, 4.89505E+034, 68
5.73319E+014, 4.35831E+034, 69
5.55402E+014, 3.82157E+034, 70
5.37486E+014, 3.28483E+034, 71
5.19570E+014, 2.74810E+034, 72
5.01654E+014, 2.21136E+034, 73
4.83738E+014, 1.67462E+034, 74
4.65821E+014, 1.13788E+034, 75
4.47905E+014, 6.01146E+033, 76
4.29989E+014, 6.44085E+032, 77
