#rho, , pressure, nB
#[g/cm^3],[erg/cm^3], [cm^-3]
1.40E+16, 3.41E+37, 9.87E+38
1.30E+16, 2.56E+37, 1.80E+39
1.20E+16, 1.93E+37, 2.27E+39
1.10E+16, 1.46E+37, 2.49E+39
1.00E+16, 1.13E+37, 2.53E+39
9.00E+15, 8.84E+36, 2.45E+39
8.00E+15, 7.04E+36, 2.30E+39
7.00E+15, 5.65E+36, 2.11E+39
6.00E+15, 4.48E+36, 1.91E+39
5.00E+15, 3.42E+36, 1.71E+39
4.05E+15, 2.47E+36, 1.50E+39
3.61E+15, 2.05E+36, 1.40E+39
3.21E+15, 1.67E+36, 1.30E+39
2.83E+15, 1.34E+36, 1.20E+39
2.48E+15, 1.05E+36, 1.10E+39
2.16E+15, 8.02E+35, 1.00E+39
2.01E+15, 6.93E+35, 9.50E+38
1.87E+15, 5.95E+35, 9.00E+38
1.73E+15, 5.05E+35, 8.50E+38
1.60E+15, 4.26E+35, 8.00E+38
1.47E+15, 3.54E+35, 7.50E+38
1.35E+15, 2.91E+35, 7.00E+38
1.28E+15, 2.56E+35, 6.70E+38
1.21E+15, 2.24E+35, 6.40E+38
1.14E+15, 1.95E+35, 6.10E+38
1.08E+15, 1.68E+35, 5.80E+38
1.01E+15, 1.43E+35, 5.49E+38
9.47E+14, 1.22E+35, 5.20E+38
8.85E+14, 1.02E+35, 4.90E+38
8.24E+14, 8.40E+34, 4.60E+38
7.65E+14, 6.82E+34, 4.30E+38
7.07E+14, 5.45E+34, 4.00E+38
6.50E+14, 4.26E+34, 3.71E+38
5.93E+14, 3.27E+34, 3.41E+38
5.38E+14, 2.45E+34, 3.11E+38
4.84E+14, 1.80E+34, 2.80E+38
4.30E+14, 1.33E+34, 2.50E+38
3.77E+14, 1.02E+34, 2.20E+38
3.24E+14, 8.81E+33, 1.89E+38
