# rho[g/cm^3] ,P[dyn/cm^2], n_B[fm^{-3}] 
6.7490E+15,5.3440E+36,1.997
6.6850E+15,5.2740E+36,1.987
6.6220E+15,5.2050E+36,1.977
6.5600E+15,5.1360E+36,1.967
6.4980E+15,5.0680E+36,1.957
6.4360E+15,5.0000E+36,1.947
6.3740E+15,4.9330E+36,1.937
6.3130E+15,4.8660E+36,1.927
6.2530E+15,4.8000E+36,1.917
6.1920E+15,4.7340E+36,1.907
6.1320E+15,4.6690E+36,1.897
6.0730E+15,4.6050E+36,1.887
6.0140E+15,4.5410E+36,1.877
5.9550E+15,4.4770E+36,1.867
5.8960E+15,4.4140E+36,1.857
5.8380E+15,4.3510E+36,1.847
5.7810E+15,4.2900E+36,1.837
5.7240E+15,4.2280E+36,1.827
5.6670E+15,4.1670E+36,1.817
5.6100E+15,4.1070E+36,1.807
5.5540E+15,4.0470E+36,1.797
5.4980E+15,3.9870E+36,1.787
5.4430E+15,3.9280E+36,1.777
5.3880E+15,3.8700E+36,1.767
5.3330E+15,3.8120E+36,1.757
5.2790E+15,3.7550E+36,1.747
5.2250E+15,3.6980E+36,1.737
5.1710E+15,3.6420E+36,1.727
5.1180E+15,3.5860E+36,1.717
5.0650E+15,3.5300E+36,1.707
5.0130E+15,3.4750E+36,1.697
4.9610E+15,3.4210E+36,1.687
4.9090E+15,3.3670E+36,1.677
4.8570E+15,3.3140E+36,1.667
4.8060E+15,3.2610E+36,1.657
4.7560E+15,3.2090E+36,1.647
4.7050E+15,3.1570E+36,1.637
4.6550E+15,3.1050E+36,1.627
4.6050E+15,3.0540E+36,1.617
4.5560E+15,3.0040E+36,1.607
4.5070E+15,2.9540E+36,1.597
4.4580E+15,2.9050E+36,1.587
4.4100E+15,2.8560E+36,1.577
4.3620E+15,2.8070E+36,1.567
4.3150E+15,2.7590E+36,1.557
4.2820E+15,2.7260E+36,1.55
4.0500E+15,2.4950E+36,1.5
3.8260E+15,2.2750E+36,1.45
3.6110E+15,2.0680E+36,1.4
3.4040E+15,1.8720E+36,1.35
3.2050E+15,1.6880E+36,1.3
3.0130E+15,1.5140E+36,1.25
2.8290E+15,1.3520E+36,1.2
2.6520E+15,1.2010E+36,1.15
2.4820E+15,1.0610E+36,1.1
2.3190E+15,9.3100E+35,1.05
2.1620E+15,8.1140E+35,1
2.0120E+15,7.0180E+35,0.95
1.8680E+15,6.0180E+35,0.9
1.7300E+15,5.1130E+35,0.85
1.5980E+15,4.2980E+35,0.8
1.4710E+15,3.5700E+35,0.75
1.3490E+15,2.9250E+35,0.7
1.2310E+15,2.3600E+35,0.65
1.1190E+15,1.8690E+35,0.6
1.0100E+15,1.4490E+35,0.55
9.0560E+14,1.0950E+35,0.5
8.0460E+14,8.0160E+34,0.45
7.0680E+14,5.6450E+34,0.4
6.1200E+14,3.7830E+34,0.35
5.1980E+14,2.3760E+34,0.3
4.2980E+14,1.3670E+34,0.25
3.4170E+14,6.9590E+33,0.2
2.5500E+14,2.9830E+33,0.15
1.6940E+14,9.9150E+32,0.1
1.2840E+14,5.3710E+32,0.07596
1.2370E+14,5.0460E+32,0.07317
1.0510E+14,3.8470E+32,0.0622
7.2020E+13,2.1620E+32,0.04268
4.9680E+13,1.2950E+32,0.02948
