#central density,	central pressure, radius,	mass,   quarkRadiusPattern, quarkCoreMassPattern,   information entropy,	disequilibrium,	complexity
9.00869108176e+34, -5.90504727963e+33, 0.0, 0.0, -32.7024475296, -22.1458552466, 0, 0, 0
9.03163536015e+31, -1.98095790191e+32, 0.0, 0.0, -1032.82777195, -699.423317219, 0, 0, 0
9.06659194104e+35, 4.7292666288e+34, 8.04051141071, 0.528181105102, -10.3083479625, -6.98073688831, 0, 0, 0
9.12718635745e+33, -7.05773208961e+33, 0.0, 0.0, -102.740729696, -69.57526117, 0, 0, 0
9.14734665364e+35, 4.79784102494e+34, 8.04599204246, 0.531147234468, -10.2627449521, -6.94985486748, 0, 0, 0
9.16782256827e+33, -7.05768713595e+33, 0.0, 0.0, -102.512778587, -69.4208943678, 0, 0, 0
9.2285445356e+35, 4.86699448152e+34, 8.05138726168, 0.534095238119, -10.217496525, -6.91921296776, 0, 0, 0
9.26839025524e+33, -7.05757572684e+33, 0.0, 0.0, -101.955098585, -69.0432376006, 0, 0, 0
9.28381291601e+34, -5.83577133121e+33, 0.0, 0.0, -32.2142418476, -21.8152459748, 0, 0, 0
9.31018613806e+35, 4.93673034311e+34, 8.05669836756, 0.537025120777, -10.1725989489, -6.88880866182, 0, 0, 0
9.39093776696e+31, -1.99124812983e+32, 0.0, 0.0, -1012.87679979, -685.912666644, 0, 0, 0
9.39168381812e+33, -7.05743970043e+33, 0.0, 0.0, -101.283656883, -68.5885422535, 0, 0, 0
9.39227201207e+35, 5.00705059323e+34, 8.05179858718, 0.538788746293, -10.1280485373, -6.85863945306, 0, 0, 0
9.41052212426e+33, -7.05741878119e+33, 0.0, 0.0, -101.182229547, -68.5198564131, 0, 0, 0
9.47480270878e+35, 5.07795865256e+34, 8.05698947696, 0.541686727835, -10.0838416483, -6.82870287521, 0, 0, 0
9.53257404446e+30, -1.62519307315e+32, 0.0, 0.0, -3179.11333843, -2152.87200573, 0, 0, 0
9.5535838636e+33, -7.05726026212e+33, 0.0, 0.0, -100.421786856, -68.0048902549, 0, 0, 0
9.55777877943e+35, 5.14945655817e+34, 8.06209967133, 0.54456650274, -10.0399746841, -6.79899649199, 0, 0, 0
9.56133770895e+34, -5.76426064401e+33, 0.0, 0.0, -31.743278247, -21.4963129127, 0, 0, 0
9.61195752668e+33, -7.057195971e+33, 0.0, 0.0, -100.116390444, -67.7980780667, 0, 0, 0
9.64120077515e+35, 5.2215478081e+34, 8.0671303815, 0.547428062516, -9.99644409107, -6.76951789682, 0, 0, 0
9.66468963904e+32, -6.69803852625e+32, 0.0, 0.0, -315.730944518, -213.810657072, 0, 0, 0
9.69757737214e+33, -7.05710116045e+33, 0.0, 0.0, -99.6734471214, -67.4981201294, 0, 0, 0
9.72506924692e+35, 5.29423486903e+34, 8.06212955063, 0.549140617776, -9.9532463588, -6.74026471248, 0, 0, 0
9.72920272102e+31, -2.00057147452e+32, 0.0, 0.0, -995.11318044, -673.88327519, 0, 0, 0
9.75172728695e+31, -2.00119235557e+32, 0.0, 0.0, -993.963258482, -673.104556558, 0, 0, 0
9.80938474605e+35, 5.36752023912e+34, 8.06704770785, 0.551970267377, -9.91037801948, -6.71123459061, 0, 0, 0
9.82865090985e+33, -7.05695614234e+33, 0.0, 0.0, -99.0066007203, -67.0465366858, 0, 0, 0
9.84126898702e+34, -5.69049629837e+33, 0.0, 0.0, -31.2885583952, -21.1883799972, 0, 0, 0
9.84250454897e+33, -7.0569406925e+33, 0.0, 0.0, -98.9368987104, -66.9993350009, 0, 0, 0
9.89414782361e+35, 5.44140678979e+34, 8.07188955983, 0.554781662011, -9.86783564771, -6.68242521155, 0, 0, 0
9.97935903073e+35, 5.51589745346e+34, 8.06683062091, 0.556457058727, -9.82561585982, -6.6538342839, 0, 0, 0
9.98836729288e+33, -7.05677971506e+33, 0.0, 0.0, -98.2118412005, -66.5083314256, 0, 0, 0
1.00417711837e+34, -7.05672060204e+33, 0.0, 0.0, -97.9503392072, -66.3312442126, 0, 0, 0
1.00650189186e+36, 5.59099517977e+34, 8.07156513354, 0.559236596709, -9.78371531338, -6.62545954421, 0, 0, 0
1.01139659408e+32, -2.01079198353e+32, 0.0, 0.0, -976.00122213, -660.940798581, 0, 0, 0
1.01236102768e+35, -5.61446133707e+33, 0.0, 0.0, -30.8491637551, -20.8908252014, 0, 0, 0
1.01351675029e+34, -7.05661730875e+33, 0.0, 0.0, -97.4979848603, -66.0249131994, 0, 0, 0
1.01511280382e+36, 5.66670222745e+34, 8.07622635589, 0.561997860903, -9.74213070674, -6.5972987566, 0, 0, 0
1.02376869409e+36, 5.74302159932e+34, 8.0711145037, 0.563636327801, -9.70085877849, -6.56934971248, 0, 0, 0
1.02513255643e+34, -7.05648881773e+33, 0.0, 0.0, -96.9440349653, -65.6497824334, 0, 0, 0
1.0282907078e+34, -7.0564537591e+33, 0.0, 0.0, -96.7950501625, -65.5488910285, 0, 0, 0
1.03246961778e+36, 5.81995598053e+34, 8.07567331264, 0.566365776779, -9.65989630698, -6.54161023017, 0, 0, 0
1.04083651049e+35, -5.53613770295e+33, 0.0, 0.0, -30.4242475341, -20.6030750838, 0, 0, 0
1.04121562998e+36, 5.89750807598e+34, 8.08016169232, 0.56907695963, -9.6192401099, -6.51407815464, 0, 0, 0
1.04270339682e+33, -6.6933312814e+32, 0.0, 0.0, -303.969991055, -205.846226498, 0, 0, 0
1.04315879171e+34, -7.05628927935e+33, 0.0, 0.0, -96.1027673246, -65.0800822183, 0, 0, 0
1.04573212676e+34, -7.05626092697e+33, 0.0, 0.0, -95.9844497639, -64.9999584426, 0, 0, 0
1.04776157493e+32, -2.02004931544e+32, 0.0, 0.0, -958.914467904, -649.369775178, 0, 0, 0
1.05000678583e+36, 5.9756810066e+34, 8.07500177776, 0.570678737052, -9.5788870436, -6.48675135703, 0, 0, 0
1.05812119192e+34, -7.05612417598e+33, 0.0, 0.0, -95.420875871, -64.6183103765, 0, 0, 0
1.05884314044e+36, 6.05447715997e+34, 8.07939240046, 0.573358188022, -9.5388340029, -6.45962773453, 0, 0, 0
1.0591296633e+34, -7.05611290898e+33, 0.0, 0.0, -95.3754366094, -64.5875392451, 0, 0, 0
1.06597655098e+34, -7.05598136137e+33, 0.0, 0.0, -95.0686395715, -64.3797785635, 0, 0, 0
1.06669874034e+32, -2.02467538282e+32, 0.0, 0.0, -950.364518592, -643.579812831, 0, 0, 0
1.06772474891e+36, 6.13389931677e+34, 8.07421623227, 0.574936932791, -9.49907792032, -6.43270520987, 0, 0, 0
1.06955369975e+35, -5.4555078947e+33, 0.0, 0.0, -30.0130276065, -20.3245999946, 0, 0, 0
1.07317809833e+34, -7.05584256434e+33, 0.0, 0.0, -94.7491242231, -64.1634051361, 0, 0, 0
1.07665166637e+36, 6.2139503062e+34, 8.07851186401, 0.577584717263, -9.45961576582, -6.40598173113, 0, 0, 0
1.08282968585e+33, -6.6903177054e+32, 0.0, 0.0, -298.28473475, -201.996213037, 0, 0, 0
1.08426387333e+32, -2.02896616392e+32, 0.0, 0.0, -942.635108431, -638.34551352, 0, 0, 0
1.08562394792e+36, 6.29463257983e+34, 8.08274142061, 0.58021426951, -9.42044454617, -6.37945527132, 0, 0, 0
1.08586655069e+34, -7.05559936715e+33, 0.0, 0.0, -94.193921362, -63.7874258708, 0, 0, 0
1.08832970083e+34, -7.05555203072e+33, 0.0, 0.0, -94.0872693082, -63.7152018899, 0, 0, 0
1.09464164868e+36, 6.37594983043e+34, 8.07752428329, 0.581756754705, -9.38156130464, -6.35312382816, 0, 0, 0
1.09851294816e+35, -5.37255421975e+33, 0.0, 0.0, -29.614780272, -20.0549098494, 0, 0, 0
1.10357618932e+34, -7.05525913033e+33, 0.0, 0.0, -93.4350761921, -63.2735415424, 0, 0, 0
