#central density,	central pressure, radius,	mass,   quarkRadiusPattern, quarkCoreMassPattern,   information entropy,	disequilibrium,	complexity
9.05582898628e+35, 1.20853723193e+35, 8.57132617983, 1.05084238097, -10.3144719372, -6.98488399866, 0, 0, 0
9.14080273564e+35, 1.24358047554e+35, 8.60325816178, 1.06689237203, -10.2664178542, -6.95234212953, 0, 0, 0
9.22606438434e+35, 1.27878414059e+35, 8.64516382267, 1.08619806339, -10.2188697667, -6.92014291692, 0, 0, 0
9.31161289318e+35, 1.31414765464e+35, 8.67656210174, 1.10226043205, -10.17181958, -6.88828087895, 0, 0, 0
9.39744723673e+35, 1.34967074639e+35, 8.71784831577, 1.12159552388, -10.1252593679, -6.85675064819, 0, 0, 0
9.48356640303e+35, 1.38535290017e+35, 8.74872942853, 1.13765595198, -10.0791813693, -6.8255469688, 0, 0, 0
9.56996939351e+35, 1.42119388837e+35, 8.77938073551, 1.15370617699, -10.0335779834, -6.79466469368, 0, 0, 0
9.65665522245e+35, 1.45719350568e+35, 8.80980563805, 1.16974334273, -9.9884417665, -6.76409878189, 0, 0, 0
9.7436229169e+35, 1.49335113458e+35, 8.84000746486, 1.18576460949, -9.94376542729, -6.73384429588, 0, 0, 0
9.83087151632e+35, 1.52966657963e+35, 8.86008993221, 1.19845260809, -9.8995418237, -6.70389639909, 0, 0, 0
9.91840007247e+35, 1.56613936862e+35, 8.88989909093, 1.21442775502, -9.8557639589, -6.6742503533, 0, 0, 0
1.00062076488e+36, 1.6027694655e+35, 8.90968188003, 1.22705715757, -9.81242497801, -6.64490151644, 0, 0, 0
1.00942933207e+36, 1.6395562326e+35, 8.93910912035, 1.24297745909, -9.76951816431, -6.61584534001, 0, 0, 0
1.01826561749e+36, 1.67649946636e+35, 8.95860101821, 1.25554131238, -9.72703693616, -6.58707736696, 0, 0, 0
1.02712953096e+36, 1.71359895247e+35, 8.97797167993, 1.26806967562, -9.6849748435, -6.55859322935, 0, 0, 0
1.03602098337e+36, 1.75085430902e+35, 8.99722275204, 1.28056127368, -9.64332556489, -6.53038864636, 0, 0, 0
1.04493988672e+36, 1.78826512403e+35, 9.01635584702, 1.29301483273, -9.60208290418, -6.50245942201, 0, 0, 0
1.05388615403e+36, 1.82583127006e+35, 9.03537254441, 1.30542918541, -9.56124078774, -6.47480144326, 0, 0, 0
1.06285969941e+36, 1.86355227745e+35, 9.05427439146, 1.3178031197, -9.52079326126, -6.44741067792, 0, 0, 0
1.07186043797e+36, 1.90142779263e+35, 9.0730629042, 1.33013546302, -9.48073448715, -6.4202831728, 0, 0, 0
1.08088828581e+36, 1.93945774893e+35, 9.08229850942, 1.33910363383, -9.44105874161, -6.39341505179, 0, 0, 0
1.08994316001e+36, 1.97764187282e+35, 9.10090407885, 1.35135115756, -9.40176041204, -6.36680251408, 0, 0, 0
1.09902497864e+36, 2.01597968842e+35, 9.11940031044, 1.36355412839, -9.36283399429, -6.3404418323, 0, 0, 0
1.10813366068e+36, 2.05447082751e+35, 9.12846433436, 1.37239889696, -9.32427409025, -6.31432935089, 0, 0, 0
1.11726912608e+36, 2.09311535978e+35, 9.14678427416, 1.38451206705, -9.28607540524, -6.28846148433, 0, 0, 0
1.12643129568e+36, 2.13191263866e+35, 9.1557504182, 1.39327347283, -9.24823274565, -6.26283471555, 0, 0, 0
1.13562009119e+36, 2.17086262997e+35, 9.16468731163, 1.4019954091, -9.21074101672, -6.23744559441, 0, 0, 0
1.14483543524e+36, 2.20996505887e+35, 9.18276881511, 1.41396998337, -9.17359521989, -6.21229073593, 0, 0, 0
1.1540772513e+36, 2.24921941718e+35, 9.19161119376, 1.42260577689, -9.13679045106, -6.18736681908, 0, 0, 0
1.1633454637e+36, 2.28862581452e+35, 9.20042543881, 1.43120103941, -9.10032189794, -6.16267058502, 0, 0, 0
1.1726399976e+36, 2.32818358949e+35, 9.20921179572, 1.43975543888, -9.0641848383, -6.1381988359, 0, 0, 0
1.18196077896e+36, 2.36789287863e+35, 9.21797050521, 1.44826874606, -9.02837463781, -6.11394843337, 0, 0, 0
1.19130773459e+36, 2.40775303939e+35, 9.22670180331, 1.45674063726, -8.99288674786, -6.08991629714, 0, 0, 0
1.20068079202e+36, 2.44776403884e+35, 9.23540592178, 1.46517089484, -8.95771670396, -6.06609940391, 0, 0, 0
1.21007987963e+36, 2.48792559506e+35, 9.24408308791, 1.47355925659, -8.92286012346, -6.04249478577, 0, 0, 0
1.21950492651e+36, 2.52823751173e+35, 9.25273352494, 1.48190552026, -8.88831270407, -6.01909952925, 0, 0, 0
1.22895586253e+36, 2.56869949267e+35, 9.25250338176, 1.48697756434, -8.85407022178, -5.99591077387, 0, 0, 0
1.23843261828e+36, 2.60931115735e+35, 9.26113495572, 1.49524622116, -8.82012852925, -5.97292571109, 0, 0, 0
1.24793512509e+36, 2.6500725666e+35, 9.26974014951, 1.50347226034, -8.78648355404, -5.95014158307, 0, 0, 0
1.257463315e+36, 2.69098313214e+35, 9.27831917483, 1.51165544328, -8.75313129701, -5.92755568165, 0, 0, 0
1.26701712073e+36, 2.73204289936e+35, 9.27815217184, 1.51659600657, -8.72006783068, -5.90516534714, 0, 0, 0
1.27659647574e+36, 2.77325143596e+35, 9.28671225913, 1.52470065567, -8.6872892976, -5.88296796732, 0, 0, 0
1.28620131409e+36, 2.81460876556e+35, 9.28659171829, 1.52958019, -8.65479190894, -5.86096097643, 0, 0, 0
1.2958315706e+36, 2.85611422747e+35, 9.29513255431, 1.53760596652, -8.62257194277, -5.83914185398, 0, 0, 0
1.30548718068e+36, 2.89776819716e+35, 9.29505705384, 1.54242438985, -8.59062574292, -5.81750812406, 0, 0, 0
1.3151680804e+36, 2.93956996211e+35, 9.30357834262, 1.55037106821, -8.55894971722, -5.79605735408, 0, 0, 0
1.32487420649e+36, 2.98151946989e+35, 9.30354650699, 1.5551282912, -8.52754033638, -5.77478715401, 0, 0, 0
1.33460549628e+36, 3.02361634177e+35, 9.31204796918, 1.5629956177, -8.49639413246, -5.75369517541, 0, 0, 0
1.34436188773e+36, 3.06586066833e+35, 9.31205846747, 1.56769163564, -8.4655076977, -5.73277911057, 0, 0, 0
1.35414331939e+36, 3.10825201916e+35, 9.31210496216, 1.57236215452, -8.43487768312, -5.71203669156, 0, 0, 0
1.36394973044e+36, 3.15079022056e+35, 9.31218688339, 1.57700718282, -8.40450079729, -5.69146568947, 0, 0, 0
1.37378106061e+36, 3.19347517454e+35, 9.32067804516, 1.58472363499, -8.37437380517, -5.67106391355, 0, 0, 0
1.38363725024e+36, 3.23630664417e+35, 9.32079926948, 1.5893075628, -8.34449352684, -5.65082921039, 0, 0, 0
1.3935182402e+36, 3.27928404464e+35, 9.32095451371, 1.59386603288, -8.31485683649, -5.63075946319, 0, 0, 0
1.40342397197e+36, 3.32240767623e+35, 9.32114324365, 1.59839912027, -8.28546066102, -5.6108525909, 0, 0, 0
1.41335438755e+36, 3.36567729082e+35, 9.32136493453, 1.60290685898, -8.25630197921, -5.59110654755, 0, 0, 0
1.42330942949e+36, 3.40909227124e+35, 9.32984644844, 1.61043688297, -8.22737782049, -5.5715193215, 0, 0, 0
1.43328904089e+36, 3.45265290609e+35, 9.33010383031, 1.61488373, -8.19868526389, -5.55208893469, 0, 0, 0
1.44329316537e+36, 3.49635870201e+35, 9.33039288117, 1.61930530442, -8.1702214371, -5.53281344201, 0, 0, 0
1.45332174704e+36, 3.54020942435e+35, 9.33071310873, 1.62370162164, -8.14198351547, -5.51369093064, 0, 0, 0
1.46337473059e+36, 3.5842051183e+35, 9.33106402893, 1.62807276426, -8.11396872081, -5.49471951919, 0, 0, 0
1.47345206114e+36, 3.62834545258e+35, 9.33144516625, 1.6324187368, -8.08617432084, -5.4758973574, 0, 0, 0
1.48355368437e+36, 3.67263015077e+35, 9.33185605305, 1.63673957281, -8.05859762785, -5.45722262516, 0, 0, 0
1.49367954642e+36, 3.71705921078e+35, 9.32426499377, 1.63805898903, -8.03123599808, -5.43869353215, 0, 0, 0
1.50382959391e+36, 3.76163245745e+35, 9.32476115777, 1.64233988472, -8.0040868307, -5.42030831708, 0, 0, 0
1.51400377395e+36, 3.80634933118e+35, 9.32528550576, 1.64659575744, -7.97714756695, -5.4020652472, 0, 0, 0
1.52420203412e+36, 3.85121021416e+35, 9.32583760363, 1.65082670909, -7.95041568937, -5.38396261771, 0, 0, 0
1.53442432245e+36, 3.89621464091e+35, 9.3264170245, 1.65503276766, -7.9238887209, -5.36599875114, 0, 0, 0
1.54467058744e+36, 3.94136219522e+35, 9.32702334865, 1.65921395393, -7.89756422409, -5.34817199688, 0, 0, 0
1.55494077804e+36, 3.98665296313e+35, 9.32765616344, 1.66337036129, -7.87143980037, -5.33048073064, 0, 0, 0
1.56523484363e+36, 4.03208708818e+35, 9.32046954998, 1.66459776476, -7.84551308921, -5.31292335387, 0, 0, 0
1.57555273404e+36, 4.07766382846e+35, 9.32117986677, 1.66871477574, -7.81978176743, -5.29549829335, 0, 0, 0
1.58589439953e+36, 4.1233829503e+35, 9.32191528386, 1.67280712704, -7.79424354838, -5.27820400056, 0, 0, 0
1.5962597908e+36, 4.16924473681e+35, 9.31490652141, 1.67400191321, -7.76889618133, -5.26103895134, 0, 0, 0
1.60664885893e+36, 4.21524906001e+35, 9.31571615325, 1.67805513393, -7.74373745075, -5.24400164534, 0, 0, 0
1.61706155546e+36, 4.26139534752e+35, 9.31654956686, 1.68208388298, -7.71876517553, -5.22709060552, 0, 0, 0
1.62749783232e+36, 4.30768402821e+35, 9.3097124222, 1.68324623472, -7.69397720843, -5.2103043778, 0, 0, 0
1.63795764182e+36, 4.35411413694e+35, 9.31061692261, 1.68723608599, -7.66937143543, -5.19364153057, 0, 0, 0
1.6484409367e+36, 4.4006857043e+35, 9.3115439539, 1.69120163865, -7.64494577496, -5.17710065422, 0, 0, 0
1.6589476701e+36, 4.44739880725e+35, 9.3048724746, 1.69233160792, -7.6206981774, -5.16068036075, 0, 0, 0
1.66947779553e+36, 4.49425358121e+35, 9.30586761494, 1.6962585853, -7.59662662444, -5.14437928338, 0, 0, 0
1.68003126685e+36, 4.54124920159e+35, 9.29931136983, 1.6973707208, -7.57272912852, -5.12819607615, 0, 0, 0
1.69060803835e+36, 4.58838637309e+35, 9.30037259805, 1.70125929278, -7.54900373218, -5.11212941348, 0, 0, 0
1.70120806468e+36, 4.6356638489e+35, 9.29392890676, 1.70235360828, -7.5254485075, -5.09617798979, 0, 0, 0
1.71183130084e+36, 4.68308190635e+35, 9.2950542674, 1.70620389483, -7.50206155561, -5.08034051919, 0, 0, 0
1.72247770221e+36, 4.73064089058e+35, 9.28872052952, 1.70728043523, -7.47884100606, -5.06461573502, 0, 0, 0
1.73314722451e+36, 4.77834014819e+35, 9.28990813042, 1.71109269151, -7.45578501639, -5.0490023896, 0, 0, 0
1.74383982382e+36, 4.82617958524e+35, 9.28368182266, 1.71215144772, -7.43289177155, -5.03349925375, 0, 0, 0
